,pres_hpa,temp_cels,rh_percent
2016-01-01,1021.9,21.0,80.0
2016-01-02,1019.0,19.4,91.0
2016-01-03,1017.8,19.8,91.0
2016-01-04,1015.9,21.5,92.0
2016-01-05,1015.7,20.1,91.0
2016-01-06,1018.9,18.3,83.0
2016-01-07,1019.7,17.7,81.0
2016-01-08,1019.1,17.1,74.0
2016-01-09,1018.8,17.7,77.0
2016-01-10,1015.0,20.5,86.0
2016-01-11,1015.1,16.6,97.0
2016-01-12,1018.6,15.4,86.0
2016-01-13,1019.7,14.0,83.0
2016-01-14,1017.8,15.5,75.0
2016-01-15,1014.5,16.0,94.0
2016-01-16,1011.6,19.7,81.0
2016-01-17,1008.8,16.7,97.0
2016-01-18,1017.8,15.9,62.0
2016-01-19,1021.7,13.1,89.0
2016-01-20,1017.4,16.5,91.0
2016-01-21,1016.3,15.6,99.0
2016-01-22,1015.4,15.9,98.0
2016-01-23,1028.8,9.2,75.0
2016-01-24,1033.9,5.2,54.0
2016-01-25,1029.7,9.4,61.0
2016-01-26,1023.4,17.1,61.0
2016-01-27,1020.3,19.8,71.0
2016-01-28,1018.2,17.2,99.0
2016-01-29,1015.8,17.4,100.0
2016-01-30,1020.8,16.8,76.0
2016-01-31,1018.1,17.9,88.0
2016-02-01,1024.1,13.0,81.0
2016-02-02,1021.6,12.9,85.0
2016-02-03,1021.3,14.3,90.0
2016-02-04,1017.8,17.5,88.0
2016-02-05,1017.9,14.8,75.0
2016-02-06,1024.9,10.5,44.0
2016-02-07,1023.2,11.4,47.0
2016-02-08,1020.4,15.7,40.0
2016-02-09,1018.2,19.0,57.0
2016-02-10,1015.0,21.4,64.0
2016-02-11,1015.0,18.6,91.0
2016-02-12,1010.6,23.5,77.0
2016-02-13,1010.6,24.6,72.0
2016-02-14,1018.9,13.5,72.0
2016-02-15,1023.5,11.4,64.0
2016-02-16,1021.4,11.9,88.0
2016-02-17,1021.3,13.4,84.0
2016-02-18,1017.2,17.8,90.0
2016-02-19,1017.0,14.4,97.0
2016-02-20,1023.4,14.4,49.0
2016-02-21,1021.4,17.0,62.0
2016-02-22,1019.4,14.9,93.0
2016-02-23,1023.7,15.0,82.0
2016-02-24,1028.6,12.7,89.0
2016-02-25,1027.3,13.7,89.0
2016-02-26,1023.5,14.4,100.0
2016-02-27,1021.2,15.5,100.0
2016-02-28,1019.6,19.0,63.0
2016-02-29,1026.8,14.5,58.0
2016-03-01,1022.9,14.9,57.0
2016-03-02,1020.1,18.9,56.0
2016-03-03,1017.7,20.2,61.0
2016-03-04,1015.7,21.3,78.0
2016-03-05,1011.6,24.6,63.0
2016-03-06,1012.3,20.6,88.0
2016-03-07,1011.3,24.0,77.0
2016-03-08,1007.7,22.5,92.0
2016-03-09,1015.4,15.3,86.0
2016-03-10,1021.2,12.2,80.0
2016-03-11,1020.6,12.4,90.0
2016-03-12,1014.5,16.2,100.0
2016-03-13,1010.4,17.4,99.0
2016-03-14,1018.3,14.9,66.0
2016-03-15,1014.0,15.4,96.0
2016-03-16,1014.6,16.3,100.0
2016-03-17,1011.3,20.8,98.0
2016-03-18,1008.9,21.6,100.0
2016-03-19,1013.5,19.1,100.0
2016-03-20,1014.1,16.7,100.0
2016-03-21,1013.7,,100.0
2016-03-22,1011.7,,100.0
2016-03-23,1014.7,,100.0
2016-03-24,1022.5,,100.0
2016-03-25,1022.0,11.7,91.0
2016-03-26,1020.9,13.9,57.0
2016-03-27,1022.6,14.2,62.0
2016-03-28,1021.0,17.7,50.0
2016-03-29,1018.5,21.1,47.0
2016-03-30,1015.9,19.3,80.0
2016-03-31,1012.2,20.0,86.0
2016-04-01,1012.6,21.9,73.0
2016-04-02,1012.4,24.9,68.0
2016-04-03,1009.6,25.3,79.0
2016-04-04,1011.0,21.2,88.0
2016-04-05,1011.6,23.6,81.0
2016-04-06,1010.1,24.0,84.0
2016-04-07,1010.2,27.6,78.0
2016-04-08,1011.7,21.2,87.0
2016-04-09,1008.1,21.9,86.0
2016-04-10,1007.0,23.0,85.0
2016-04-11,1009.5,21.1,88.0
2016-04-12,1005.9,23.3,82.0
2016-04-13,1004.1,21.0,91.0
2016-04-14,1010.4,20.8,91.0
2016-04-15,1011.1,22.4,96.0
2016-04-16,1007.4,26.8,82.0
2016-04-17,1010.0,22.4,85.0
2016-04-18,1016.1,17.4,90.0
2016-04-19,1015.3,23.9,71.0
2016-04-20,1010.7,25.3,80.0
2016-04-21,1007.8,28.2,81.0
2016-04-22,1007.6,25.8,82.0
2016-04-23,1007.1,26.8,75.0
