,pres_hpa,temp_cels,rh_percent
2019-01-01,1024.8,15.6,99.0
2019-01-02,1023.3,17.2,100.0
2019-01-03,1023.8,18.6,99.0
2019-01-04,1019.6,19.7,97.0
2019-01-05,1018.2,19.5,96.0
2019-01-06,1020.3,17.5,97.0
2019-01-07,1017.0,21.4,91.0
2019-01-08,1020.2,18.5,100.0
2019-01-09,1020.0,19.1,95.0
2019-01-10,1016.5,23.1,94.0
2019-01-11,1015.2,20.5,99.0
2019-01-12,1018.1,18.0,96.0
2019-01-13,1018.0,17.8,99.0
2019-01-14,1016.1,20.0,82.0
2019-01-15,1017.3,19.8,99.0
2019-01-16,1018.6,15.8,100.0
2019-01-17,1022.2,15.2,90.0
2019-01-18,1019.1,18.3,55.0
2019-01-19,1016.3,19.4,82.0
2019-01-20,1019.6,16.5,90.0
2019-01-21,1019.9,14.9,93.0
2019-01-22,1020.1,14.2,62.0
2019-01-23,1018.5,16.4,63.0
2019-01-24,1018.0,17.0,71.0
2019-01-25,1019.6,18.1,77.0
2019-01-26,1024.6,13.8,58.0
2019-01-27,1020.6,15.1,69.0
2019-01-28,1018.9,18.4,68.0
2019-01-29,1019.0,19.9,71.0
2019-01-30,1017.0,20.7,63.0
2019-01-31,1019.7,17.2,85.0
2019-02-01,1020.5,14.8,81.0
2019-02-02,1014.6,22.0,68.0
2019-02-03,1015.3,22.5,68.0
2019-02-04,1017.1,16.6,93.0
2019-02-05,1013.3,17.0,96.0
2019-02-06,1010.6,22.8,69.0
2019-02-07,1013.3,18.6,93.0
2019-02-08,1015.1,16.5,88.0
2019-02-09,1019.6,15.9,90.0
2019-02-10,1021.5,16.6,97.0
2019-02-11,1024.0,15.8,91.0
2019-02-12,1019.5,22.2,90.0
2019-02-13,1020.2,17.8,96.0
2019-02-14,1019.5,17.9,98.0
2019-02-15,1016.6,19.9,98.0
2019-02-16,1017.8,16.0,95.0
2019-02-17,1017.6,16.5,99.0
2019-02-18,1012.2,20.1,100.0
2019-02-19,1016.4,20.0,100.0
2019-02-20,1017.0,22.4,98.0
2019-02-21,1014.3,20.4,100.0
2019-02-22,1017.0,16.1,96.0
2019-02-23,1016.9,14.0,99.0
2019-02-24,1014.4,15.1,100.0
2019-02-25,1016.1,17.4,93.0
2019-02-26,1013.7,18.0,91.0
2019-02-27,1010.9,21.5,91.0
2019-02-28,1015.1,17.2,97.0
2019-03-01,1014.1,19.0,98.0
2019-03-02,1008.8,22.1,85.0
2019-03-03,1008.7,17.5,100.0
2019-03-04,1014.7,16.7,73.0
2019-03-05,1010.5,17.2,92.0
2019-03-06,1014.9,15.7,95.0
2019-03-07,1019.2,12.1,98.0
2019-03-08,1014.1,16.8,100.0
2019-03-09,1007.3,18.4,100.0
2019-03-10,1011.5,15.4,99.0
2019-03-11,1012.5,16.4,79.0
2019-03-12,1014.4,20.4,53.0
2019-03-13,1017.4,20.2,62.0
2019-03-14,1017.6,18.8,81.0
2019-03-15,1020.0,16.9,62.0
2019-03-16,1017.2,19.0,60.0
2019-03-17,1015.8,19.3,98.0
2019-03-18,1012.0,22.0,84.0
2019-03-19,1012.8,20.7,88.0
2019-03-20,1008.4,24.5,89.0
2019-03-21,1006.6,25.3,88.0
2019-03-22,1013.4,17.8,94.0
2019-03-23,1019.5,15.0,86.0
2019-03-24,1015.0,18.0,94.0
2019-03-25,1014.3,18.3,100.0
2019-03-26,1016.6,19.8,77.0
2019-03-27,1011.4,23.3,87.0
2019-03-28,1006.1,25.4,76.0
2019-03-29,1007.6,21.7,91.0
2019-03-30,1012.4,21.1,80.0
2019-03-31,1019.0,16.6,91.0
2019-04-01,1019.6,16.4,81.0
2019-04-02,1014.0,20.0,95.0
2019-04-03,1014.5,21.0,93.0
2019-04-04,1011.2,22.6,94.0
2019-04-05,1011.0,20.4,85.0
2019-04-06,1008.7,24.1,68.0
2019-04-07,1007.6,26.1,73.0
2019-04-08,1008.6,27.8,63.0
2019-04-09,1004.8,27.0,79.0
2019-04-10,1009.2,20.5,94.0
2019-04-11,1011.1,18.9,98.0
2019-04-12,1014.2,19.5,77.0
2019-04-13,1012.0,21.9,97.0
2019-04-14,1012.4,22.2,84.0
2019-04-15,1013.4,18.0,93.0
2019-04-16,1008.8,19.6,99.0
2019-04-17,1008.8,21.3,71.0
2019-04-18,1007.6,25.9,67.0
2019-04-19,1005.8,23.9,100.0
2019-04-20,1004.8,24.0,93.0
2019-04-21,1005.4,25.0,92.0
2019-04-22,1006.9,25.7,100.0
2019-04-23,1005.2,29.1,66.0
2019-04-24,1004.9,27.8,88.0
2019-04-25,1005.0,28.3,67.0
2019-04-26,1010.2,25.2,87.0
2019-04-27,1011.6,22.9,95.0
2019-04-28,1009.3,26.9,72.0
2019-04-29,1006.3,27.9,67.0
2019-04-30,1003.5,27.1,82.0
2019-05-01,1009.3,20.6,93.0
2019-05-02,1012.0,18.3,100.0
2019-05-03,1013.0,22.1,56.0
2019-05-04,1010.6,22.9,61.0
2019-05-05,1007.8,24.6,64.0
2019-05-06,1009.4,19.5,97.0
2019-05-07,1010.3,18.4,90.0
2019-05-08,1006.1,22.0,92.0
2019-05-09,1006.2,20.0,100.0
2019-05-10,1007.9,22.5,88.0
2019-05-11,1009.0,23.2,92.0
2019-05-12,1008.0,25.6,93.0
2019-05-13,1005.7,27.3,85.0
2019-05-14,1006.8,25.8,90.0
2019-05-15,1005.4,26.6,90.0
2019-05-16,1002.0,28.7,88.0
2019-05-17,1000.9,27.2,97.0
2019-05-18,1002.0,29.2,83.0
2019-05-19,1002.8,28.9,76.0
2019-05-20,1008.4,22.5,82.0
2019-05-21,1007.9,22.3,53.0
2019-05-22,1006.6,24.3,64.0
2019-05-23,1008.8,23.8,88.0
2019-05-24,1008.7,26.9,69.0
2019-05-25,1007.6,26.8,64.0
2019-05-26,1006.3,28.0,67.0
2019-05-27,1005.8,27.0,95.0
2019-05-28,1008.8,22.6,93.0
2019-05-29,1009.2,21.8,73.0
2019-05-30,1005.8,26.5,88.0
2019-05-31,1005.6,26.9,86.0
2019-06-01,1004.2,26.2,100.0
