,pres_hpa,temp_cels,rh_percent
2018-01-01,1013.0,16.0,84.0
2018-01-02,1010.0,19.6,70.0
2018-01-03,1010.6,19.5,75.0
2018-01-04,1008.0,19.0,90.0
2018-01-05,1011.0,15.2,93.0
2018-01-06,1008.4,17.1,92.0
2018-01-07,1007.6,17.4,88.0
2018-01-08,1009.3,15.2,90.0
2018-01-09,1015.7,9.1,86.0
2018-01-10,1017.9,7.7,82.0
2018-01-11,1020.3,10.0,58.0
2018-01-12,1021.5,7.7,79.0
2018-01-13,1018.2,11.0,80.0
2018-01-14,1012.4,12.7,82.0
2018-01-15,1007.8,17.0,81.0
2018-01-16,1004.3,17.0,88.0
2018-01-17,1007.8,19.3,83.0
2018-01-18,1009.5,19.8,92.0
2018-01-19,1010.3,17.1,96.0
2018-01-20,1008.6,18.4,89.0
2018-01-21,1004.7,19.0,90.0
2018-01-22,1008.1,15.3,76.0
2018-01-23,1009.0,17.3,95.0
2018-01-24,1009.9,15.2,91.0
2018-01-25,1009.1,17.1,91.0
2018-01-26,1013.4,13.1,90.0
2018-01-27,1007.0,18.6,87.0
2018-01-28,1009.7,13.4,99.0
2018-01-29,1014.1,10.5,92.0
2018-01-30,1011.9,13.3,92.0
2018-01-31,1010.8,14.0,99.0
2018-02-01,1013.3,11.4,96.0
2018-02-02,1017.3,10.4,91.0
2018-02-03,1017.9,8.6,89.0
2018-02-04,1018.6,7.9,93.0
2018-02-05,1017.9,6.9,94.0
2018-02-06,1015.6,8.7,79.0
2018-02-07,1013.0,10.5,95.0
2018-02-08,1011.1,11.4,91.0
2018-02-09,1008.1,15.9,95.0
2018-02-10,1011.0,14.8,94.0
2018-02-11,1017.2,11.2,92.0
2018-02-12,1018.0,11.8,68.0
2018-02-13,1014.0,15.7,71.0
2018-02-14,1008.6,15.9,100.0
2018-02-15,1007.2,18.9,94.0
2018-02-16,1006.9,18.2,100.0
2018-02-17,1010.5,16.6,92.0
2018-02-18,1008.2,18.5,97.0
2018-02-19,1006.4,20.1,91.0
2018-02-20,1005.1,18.1,99.0
2018-02-21,1008.8,15.4,97.0
2018-02-22,1012.6,13.3,98.0
2018-02-23,1012.6,15.4,91.0
2018-02-24,1010.0,17.0,100.0
2018-02-25,1012.6,14.6,99.0
2018-02-26,1012.7,15.2,95.0
2018-02-27,1007.7,17.4,99.0
2018-02-28,1005.0,16.7,100.0
2018-03-01,1004.3,20.9,95.0
2018-03-02,1002.6,21.4,98.0
2018-03-03,1002.8,21.8,100.0
2018-03-04,1004.0,22.4,100.0
2018-03-05,1009.2,17.0,97.0
2018-03-06,1012.2,16.2,92.0
2018-03-07,1008.2,16.6,100.0
2018-03-08,1015.4,10.6,91.0
2018-03-09,1015.8,11.7,85.0
2018-03-10,1014.1,13.5,71.0
2018-03-11,1012.0,18.7,62.0
2018-03-12,1009.6,19.6,70.0
2018-03-13,1007.5,21.5,74.0
2018-03-14,1007.1,21.9,80.0
2018-03-15,1006.3,19.9,86.0
2018-03-16,1010.2,17.6,96.0
2018-03-17,1010.5,19.0,96.0
2018-03-18,1006.6,21.6,95.0
2018-03-19,1002.7,22.5,95.0
2018-03-20,1005.3,14.7,97.0
2018-03-21,1009.8,12.0,77.0
2018-03-22,1009.3,13.2,75.0
2018-03-23,1011.6,17.4,71.0
2018-03-24,1010.9,19.0,71.0
2018-03-25,1010.7,21.0,70.0
2018-03-26,1008.4,20.0,86.0
2018-03-27,1007.4,20.2,88.0
2018-03-28,1005.7,21.2,85.0
2018-03-29,1005.6,22.0,77.0
2018-03-30,1007.4,21.4,73.0
2018-03-31,1005.5,21.7,75.0
2018-04-01,1004.2,21.9,72.0
2018-04-02,1004.6,22.5,81.0
2018-04-03,1005.5,22.1,87.0
2018-04-04,1004.4,22.4,90.0
2018-04-05,1002.7,23.3,89.0
2018-04-06,1013.8,13.0,90.0
2018-04-07,1015.9,12.6,77.0
2018-04-08,1010.4,18.6,68.0
2018-04-09,1007.7,21.1,74.0
2018-04-10,1005.2,21.5,84.0
2018-04-11,1002.4,23.7,92.0
2018-04-12,1004.2,23.2,100.0
