,pres_hpa,temp_cels,rh_percent
2017-01-01,993.6,19.7,78.0
2017-01-02,993.5,17.9,93.0
2017-01-03,993.9,18.1,97.0
2017-01-04,991.3,19.9,81.0
2017-01-05,990.3,20.2,85.0
2017-01-06,989.0,19.7,94.0
2017-01-07,986.8,19.6,93.0
2017-01-08,989.0,16.3,95.0
2017-01-09,993.0,13.9,83.0
2017-01-10,994.0,16.0,79.0
2017-01-11,992.0,17.7,88.0
2017-01-12,988.4,17.7,94.0
2017-01-13,991.5,12.7,98.0
2017-01-14,994.8,11.8,90.0
2017-01-15,995.4,11.5,96.0
2017-01-16,995.8,12.9,87.0
2017-01-17,994.8,17.5,84.0
2017-01-18,994.7,18.0,92.0
2017-01-19,993.8,16.2,94.0
2017-01-20,1000.6,9.4,82.0
2017-01-21,999.6,,93.0
2017-01-22,1002.3,,75.0
2017-01-23,1002.5,,76.0
2017-01-24,1002.1,,96.0
2017-01-25,1000.3,12.4,92.0
2017-01-26,997.1,13.6,83.0
2017-01-27,997.0,15.9,87.0
2017-01-28,991.7,19.3,75.0
2017-01-29,991.2,19.8,87.0
2017-01-30,998.0,13.1,96.0
2017-01-31,995.8,14.2,93.0
2017-02-01,999.2,13.8,92.0
2017-02-02,998.5,12.7,91.0
2017-02-03,992.0,18.1,77.0
2017-02-04,988.2,17.4,89.0
2017-02-05,989.4,15.8,96.0
2017-02-06,994.2,14.4,75.0
2017-02-07,991.6,15.0,80.0
2017-02-08,989.5,14.8,92.0
2017-02-09,995.3,8.0,74.0
2017-02-10,998.3,8.6,79.0
2017-02-11,1001.1,8.7,75.0
2017-02-12,1000.4,11.7,74.0
2017-02-13,1002.2,13.7,73.0
2017-02-14,1003.1,13.5,63.0
2017-02-15,997.8,17.5,66.0
2017-02-16,994.2,16.0,81.0
2017-02-17,994.8,17.9,85.0
2017-02-18,997.9,16.0,93.0
2017-02-19,989.1,18.3,81.0
2017-02-20,990.6,17.2,95.0
2017-02-21,991.2,19.0,88.0
2017-02-22,987.8,17.6,96.0
2017-02-23,996.8,10.4,96.0
2017-02-24,996.9,11.2,99.0
2017-02-25,993.6,12.3,99.0
2017-02-26,997.1,10.8,98.0
2017-02-27,998.0,11.8,89.0
2017-02-28,993.5,12.6,87.0
2017-03-01,992.1,13.8,86.0
2017-03-02,995.9,10.9,68.0
2017-03-03,989.9,14.6,80.0
2017-03-04,988.2,16.0,89.0
2017-03-05,985.1,18.8,88.0
2017-03-06,990.8,12.1,99.0
2017-03-07,992.7,10.2,98.0
2017-03-08,993.4,10.8,96.0
2017-03-09,991.0,14.0,91.0
2017-03-10,986.4,16.1,99.0
2017-03-11,989.7,18.4,88.0
2017-03-12,986.4,19.4,91.0
2017-03-13,986.4,14.7,98.0
2017-03-14,995.5,11.0,95.0
2017-03-15,992.5,13.2,79.0
2017-03-16,991.5,14.0,99.0
2017-03-17,992.6,16.6,98.0
2017-03-18,992.5,18.5,94.0
2017-03-19,992.6,18.1,95.0
2017-03-20,988.6,20.7,91.0
2017-03-21,993.1,14.5,91.0
2017-03-22,988.0,19.6,85.0
2017-03-23,991.9,15.8,91.0
2017-03-24,988.8,18.3,84.0
2017-03-25,993.9,12.3,97.0
2017-03-26,998.2,11.5,97.0
2017-03-27,996.5,16.5,62.0
2017-03-28,993.1,17.6,80.0
2017-03-29,994.3,17.9,87.0
2017-03-30,990.0,20.6,87.0
2017-03-31,992.9,12.1,97.0
2017-04-01,995.3,10.9,85.0
2017-04-02,996.0,14.2,54.0
2017-04-03,994.8,16.4,63.0
2017-04-04,991.5,19.4,68.0
2017-04-05,988.2,21.4,78.0
2017-04-06,987.0,21.0,82.0
2017-04-07,986.9,22.1,86.0
2017-04-08,985.3,23.2,85.0
2017-04-09,981.2,23.6,88.0
2017-04-10,979.0,24.1,84.0
2017-04-11,986.3,16.0,95.0
2017-04-12,991.1,14.9,88.0
2017-04-13,991.1,16.2,98.0
2017-04-14,988.5,19.8,95.0
2017-04-15,987.7,22.1,94.0
2017-04-16,987.1,21.5,99.0
2017-04-17,981.7,24.8,88.0
2017-04-18,982.8,23.9,94.0
2017-04-19,985.5,21.7,98.0
2017-04-20,983.3,22.9,95.0
2017-04-21,983.3,20.3,98.0
2017-04-22,988.9,14.9,99.0
2017-04-23,990.1,16.1,78.0
2017-04-24,988.5,19.6,89.0
2017-04-25,986.7,22.2,95.0
2017-04-26,986.5,19.2,96.0
2017-04-27,989.9,13.9,99.0
2017-04-28,988.5,16.2,57.0
2017-04-29,987.9,18.0,64.0
2017-04-30,987.4,20.9,80.0
2017-05-01,987.9,22.5,78.0
2017-05-02,987.4,21.6,98.0
2017-05-03,987.0,22.8,90.0
2017-05-04,987.0,23.9,88.0
2017-05-05,989.4,23.1,98.0
2017-05-06,991.0,20.1,94.0
2017-05-07,989.4,20.9,87.0
2017-05-08,984.9,23.9,92.0
2017-05-09,986.9,23.2,94.0
2017-05-10,989.1,25.2,82.0
2017-05-11,988.2,25.0,87.0
2017-05-12,984.0,23.9,97.0
2017-05-13,984.6,22.0,95.0
2017-05-14,985.5,22.3,96.0
2017-05-15,983.8,22.2,99.0
2017-05-16,983.5,19.2,98.0
2017-05-17,986.6,20.9,86.0
2017-05-18,988.5,22.9,77.0
