,pres_hpa,temp_cels,rh_percent
2017-01-01,,,
2017-01-02,,,
2017-01-03,,,
2017-01-04,,,
2017-01-05,,,
2017-01-06,,,
2017-01-07,,,
2017-01-08,,,
2017-01-09,,,
2017-01-10,,,
2017-01-11,,,
2017-01-12,,,
2017-01-13,,,
2017-01-14,,,
2017-01-15,,,
2017-01-16,,,
2017-01-17,,,
2017-01-18,,,
2017-01-19,,,
2017-01-20,,,
2017-01-21,,,
2017-01-22,,,
2017-01-23,,,
2017-01-24,,,
2017-01-25,,,
2017-01-26,,,
2017-01-27,,,
2017-01-28,,,
2017-01-29,,,
2017-01-30,,,
2017-01-31,,,
2017-02-01,,,
2017-02-02,,,
2017-02-03,,,
2017-02-04,,,
2017-02-05,,,
2017-02-06,,,
2017-02-07,,,
2017-02-08,,,
2017-02-09,,,
2017-02-10,,,
2017-02-11,,,
2017-02-12,,,
2017-02-13,,,
2017-02-14,,,
2017-02-15,,,
2017-02-16,,,
2017-02-17,,,
2017-02-18,,,
2017-02-19,,,
2017-02-20,,,
2017-02-21,,,
2017-02-22,,,
2017-02-23,,,
2017-02-24,,,
2017-02-25,,,
2017-02-26,,,
2017-02-27,,,
2017-02-28,,,
2017-03-01,,,
2017-03-02,,,
2017-03-03,,,
2017-03-04,,,
2017-03-05,,,
2017-03-06,,,
2017-03-07,,,
2017-03-08,,,
2017-03-09,,,
2017-03-10,,,
2017-03-11,,,
2017-03-12,,,
2017-03-13,,,
2017-03-14,,,
2017-03-15,,,
2017-03-16,,,
2017-03-17,,,
2017-03-18,,,
2017-03-19,,,
2017-03-20,,,
2017-03-21,,,
2017-03-22,,,
2017-03-23,,,
2017-03-24,,,
2017-03-25,,,
2017-03-26,,,
2017-03-27,,,
2017-03-28,,,
2017-03-29,,,
2017-03-30,,,
2017-03-31,,,
2017-04-01,,,
2017-04-02,,,
2017-04-03,,,
2017-04-04,,,
2017-04-05,,,
2017-04-06,,,
2017-04-07,,,
2017-04-08,,,
2017-04-09,,,
2017-04-10,,,
2017-04-11,,,
2017-04-12,,,
2017-04-13,,,
2017-04-14,,,
2017-04-15,,,
2017-04-16,,,
2017-04-17,,,
2017-04-18,,,
2017-04-19,,,
2017-04-20,,,
2017-04-21,,,
2017-04-22,,,
2017-04-23,,,
2017-04-24,,,
2017-04-25,,,
2017-04-26,1008.7,22.0,78.0
2017-04-27,1012.9,16.1,85.0
2017-04-28,1011.0,19.8,45.0
2017-04-29,1010.1,22.2,44.0
2017-04-30,,,
2017-05-01,1009.6,25.9,61.0
2017-05-02,1009.3,25.9,63.0
2017-05-03,1009.0,24.8,75.0
2017-05-04,1008.6,28.2,63.0
2017-05-05,,,
2017-05-06,1013.2,22.9,75.0
2017-05-07,1011.3,23.1,70.0
2017-05-08,1006.5,26.8,73.0
2017-05-09,,,
2017-05-10,1010.7,28.7,65.0
2017-05-11,1009.5,29.2,64.0
2017-05-12,,,
2017-05-13,,,
2017-05-14,,,
2017-05-15,1005.6,25.3,83.0
2017-05-16,,,
2017-05-17,,,
2017-05-18,,,
2017-05-19,1008.9,22.5,83.0
2017-05-20,1004.9,25.4,67.0
2017-05-21,1005.1,24.6,75.0
2017-05-22,1005.1,26.1,76.0
2017-05-23,1003.3,28.0,69.0
2017-05-24,1004.2,22.7,89.0
2017-05-25,1006.7,22.6,79.0
2017-05-26,1008.3,23.9,68.0
2017-05-27,1008.0,20.2,82.0
2017-05-28,1006.8,23.3,79.0
2017-05-29,1006.0,26.4,70.0
2017-05-30,1005.3,25.7,86.0
2017-05-31,1000.4,29.1,66.0
2017-06-01,997.1,31.1,58.0
2017-06-02,1000.6,24.3,88.0
2017-06-03,1001.4,23.8,94.0
2017-06-04,1004.1,25.2,90.0
2017-06-05,1005.7,27.8,77.0
2017-06-06,1006.4,29.3,75.0
2017-06-07,1007.4,30.5,68.0
2017-06-08,1006.8,28.4,77.0
2017-06-09,1006.2,29.7,73.0
2017-06-10,1004.8,28.4,83.0
2017-06-11,1005.6,26.7,86.0
2017-06-12,1006.2,25.3,84.0
2017-06-13,1004.8,27.1,81.0
2017-06-14,1006.7,24.0,90.0
2017-06-15,1005.3,22.6,90.0
2017-06-16,,,
2017-06-17,,,
2017-06-18,1003.2,24.1,88.0
2017-06-19,,,
2017-06-20,,,
2017-06-21,,,
2017-06-22,1005.5,29.8,61.0
2017-06-23,1004.0,30.6,64.0
2017-06-24,1001.7,30.8,63.0
2017-06-25,1001.9,31.1,62.0
2017-06-26,1003.8,30.4,71.0
2017-06-27,1007.3,29.1,67.0
2017-06-28,1007.6,30.0,73.0
2017-06-29,1006.6,30.4,58.0
2017-06-30,1005.7,27.4,79.0
2017-07-01,1007.3,26.5,84.0
2017-07-02,1005.0,29.8,69.0
2017-07-03,1005.3,28.5,72.0
2017-07-04,1007.6,26.9,80.0
2017-07-05,1007.6,30.6,61.0
2017-07-06,1006.8,31.1,59.0
2017-07-07,1009.8,24.4,85.0
2017-07-08,1009.2,27.4,81.0
2017-07-09,1006.3,28.7,80.0
2017-07-10,1005.8,30.0,69.0
2017-07-11,1008.0,29.8,67.0
2017-07-12,,,
2017-07-13,1005.7,31.1,56.0
2017-07-14,1005.9,31.2,53.0
2017-07-15,1005.9,30.9,54.0
2017-07-16,1005.7,32.2,47.0
2017-07-17,,,
2017-07-18,1008.0,31.8,63.0
2017-07-19,1005.3,31.5,58.0
2017-07-20,1005.5,31.9,53.0
2017-07-21,1005.9,31.7,54.0
2017-07-22,1004.4,31.9,51.0
2017-07-23,1003.6,30.6,67.0
2017-07-24,1001.3,31.4,68.0
2017-07-25,1001.4,31.3,59.0
2017-07-26,1001.0,30.0,66.0
2017-07-27,1001.0,31.4,55.0
2017-07-28,1000.1,29.6,79.0
2017-07-29,985.3,27.1,81.0
2017-07-30,989.4,30.3,62.0
2017-07-31,997.4,30.0,64.0
2017-08-01,1000.6,30.5,62.0
2017-08-02,999.4,27.9,85.0
2017-08-03,999.0,27.4,83.0
2017-08-04,1000.3,29.9,77.0
2017-08-05,1000.9,32.3,60.0
2017-08-06,1000.9,32.7,60.0
2017-08-07,1001.0,32.6,62.0
2017-08-08,,,
2017-08-09,1000.9,32.2,59.0
2017-08-10,1002.1,32.6,58.0
2017-08-11,,,
2017-08-12,1004.8,32.0,64.0
2017-08-13,1004.8,30.9,69.0
2017-08-14,1003.7,32.0,62.0
2017-08-15,1003.4,32.2,58.0
2017-08-16,1004.9,30.9,59.0
2017-08-17,1005.7,31.1,66.0
2017-08-18,1007.0,31.5,66.0
2017-08-19,1005.2,30.0,74.0
2017-08-20,1002.2,30.7,59.0
2017-08-21,998.0,29.7,80.0
2017-08-22,999.6,30.8,61.0
2017-08-23,1005.8,28.3,81.0
2017-08-24,1006.2,29.0,79.0
2017-08-25,1004.0,30.7,60.0
2017-08-26,1004.8,30.7,63.0
2017-08-27,1009.5,25.8,86.0
2017-08-28,1006.9,30.4,63.0
2017-08-29,1006.2,30.6,66.0
2017-08-30,1005.3,30.2,66.0
2017-08-31,1003.7,28.9,73.0
2017-09-01,1001.7,27.0,84.0
2017-09-02,1004.1,26.0,85.0
2017-09-03,1006.9,25.7,88.0
2017-09-04,1005.9,28.7,77.0
2017-09-05,1004.6,29.4,77.0
2017-09-06,1002.9,31.3,70.0
2017-09-07,,,
2017-09-08,1006.3,28.3,86.0
2017-09-09,1006.2,29.8,71.0
2017-09-10,1007.7,29.5,73.0
2017-09-11,1005.7,30.4,63.0
2017-09-12,1007.2,29.1,74.0
2017-09-13,1006.7,25.7,83.0
2017-09-14,1003.5,28.5,60.0
2017-09-15,1003.6,30.9,51.0
2017-09-16,1004.7,28.4,57.0
2017-09-17,1006.9,26.3,65.0
2017-09-18,1006.9,26.6,63.0
2017-09-19,1006.8,30.3,61.0
2017-09-20,1005.6,30.2,68.0
2017-09-21,1004.9,29.7,73.0
2017-09-22,1007.4,30.0,73.0
2017-09-23,1007.4,31.6,65.0
2017-09-24,1007.8,30.8,64.0
2017-09-25,1007.7,30.1,74.0
2017-09-26,1006.3,32.1,58.0
2017-09-27,1004.8,31.7,61.0
2017-09-28,1007.8,29.6,73.0
2017-09-29,1011.5,28.3,74.0
2017-09-30,1010.4,29.6,63.0
2017-10-01,1007.3,30.4,61.0
2017-10-02,1007.6,30.7,62.0
2017-10-03,1010.8,27.8,80.0
2017-10-04,,,
2017-10-05,1010.2,27.4,76.0
2017-10-06,1010.1,27.2,84.0
2017-10-07,1011.2,26.0,84.0
2017-10-08,1010.0,27.4,85.0
2017-10-09,1009.0,29.8,66.0
2017-10-10,1009.2,29.2,73.0
