,pres_hpa,temp_cels,rh_percent
2016-01-01,1019.6,19.3,85.0
2016-01-02,1016.5,18.4,91.0
2016-01-03,1015.6,18.8,92.0
2016-01-04,1013.6,20.3,95.0
2016-01-05,1013.4,19.9,80.0
2016-01-06,1016.7,17.1,88.0
2016-01-07,1017.4,17.0,81.0
2016-01-08,1017.0,16.3,77.0
2016-01-09,1016.7,16.8,81.0
2016-01-10,1012.8,19.6,90.0
2016-01-11,1013.1,16.0,95.0
2016-01-12,1016.6,14.4,90.0
2016-01-13,1017.6,13.0,88.0
2016-01-14,1015.6,14.2,85.0
2016-01-15,1012.3,15.1,94.0
2016-01-16,1009.5,18.6,84.0
2016-01-17,1006.9,16.1,94.0
2016-01-18,1015.7,14.8,69.0
2016-01-19,1019.3,12.8,84.0
2016-01-20,1015.4,16.1,87.0
2016-01-21,1014.1,15.4,94.0
2016-01-22,1013.5,15.5,91.0
2016-01-23,1026.5,8.2,92.0
2016-01-24,1031.5,4.6,60.0
2016-01-25,1027.3,8.0,78.0
2016-01-26,1020.9,15.4,68.0
2016-01-27,1017.9,18.5,76.0
2016-01-28,1016.2,16.7,96.0
2016-01-29,1013.6,16.8,95.0
2016-01-30,1018.8,15.2,91.0
2016-01-31,1015.7,17.2,90.0
2016-02-01,1022.0,11.6,91.0
2016-02-02,1019.6,12.0,91.0
2016-02-03,1019.3,13.9,90.0
2016-02-04,1015.6,16.6,92.0
2016-02-05,1015.8,13.5,86.0
2016-02-06,1022.5,9.6,55.0
2016-02-07,1020.9,8.3,74.0
2016-02-08,1018.1,12.4,65.0
2016-02-09,1015.8,17.6,63.0
2016-02-10,1012.4,20.9,67.0
2016-02-11,1012.6,19.1,83.0
2016-02-12,1008.3,22.1,81.0
2016-02-13,1008.3,23.7,76.0
2016-02-14,1016.9,11.9,91.0
2016-02-15,1021.2,10.2,80.0
2016-02-16,1019.1,11.4,85.0
2016-02-17,1019.0,12.5,85.0
2016-02-18,1014.7,17.3,87.0
2016-02-19,1014.8,14.1,95.0
2016-02-20,1021.3,12.1,80.0
2016-02-21,1018.9,16.9,62.0
2016-02-22,1016.8,15.1,89.0
2016-02-23,1021.5,13.6,93.0
2016-02-24,1026.4,12.3,89.0
2016-02-25,,,
2016-02-26,,,
2016-02-27,1018.9,15.0,93.0
2016-02-28,1017.0,18.3,66.0
2016-02-29,1024.3,13.9,61.0
2016-03-01,1020.3,14.2,61.0
2016-03-02,1017.8,17.9,61.0
2016-03-03,1015.4,17.9,70.0
2016-03-04,1013.5,19.7,79.0
2016-03-05,1009.4,23.2,67.0
2016-03-06,1010.0,21.7,79.0
2016-03-07,1009.3,22.8,83.0
2016-03-08,1005.4,21.0,92.0
2016-03-09,1013.5,14.6,91.0
2016-03-10,1019.1,11.1,90.0
2016-03-11,1018.5,11.9,90.0
2016-03-12,1012.3,15.7,94.0
2016-03-13,1008.3,16.5,94.0
2016-03-14,1016.3,14.0,73.0
2016-03-15,1011.8,14.7,93.0
2016-03-16,1012.4,15.8,95.0
2016-03-17,1009.3,19.1,94.0
2016-03-18,1006.7,20.7,97.0
2016-03-19,1011.5,18.7,86.0
2016-03-20,1012.0,16.6,84.0
2016-03-21,1011.4,17.5,89.0
2016-03-22,1009.6,18.9,91.0
2016-03-23,1012.7,15.6,93.0
2016-03-24,1020.2,11.2,94.0
2016-03-25,1019.7,11.1,96.0
2016-03-26,1018.6,12.9,63.0
2016-03-27,1020.3,13.5,65.0
2016-03-28,1018.4,16.8,53.0
2016-03-29,1016.0,18.9,66.0
2016-03-30,1013.6,18.7,79.0
2016-03-31,1010.0,18.5,95.0
2016-04-01,1010.3,20.7,79.0
2016-04-02,1010.3,23.7,77.0
2016-04-03,1007.4,24.1,86.0
2016-04-04,1008.8,20.8,89.0
2016-04-05,1009.4,22.8,81.0
2016-04-06,1008.0,24.5,81.0
2016-04-07,1008.2,26.0,76.0
2016-04-08,1009.5,20.3,91.0
2016-04-09,1005.9,21.6,87.0
2016-04-10,1005.2,21.6,95.0
2016-04-11,1007.6,20.2,92.0
2016-04-12,1003.8,22.3,89.0
2016-04-13,1002.2,21.3,97.0
2016-04-14,1008.2,20.1,94.0
2016-04-15,1009.2,21.8,97.0
2016-04-16,1005.6,24.7,91.0
2016-04-17,1008.0,21.1,88.0
2016-04-18,1014.3,16.8,88.0
2016-04-19,1013.2,23.5,71.0
2016-04-20,1008.8,24.5,84.0
2016-04-21,1005.9,27.3,77.0
2016-04-22,1005.9,23.6,92.0
2016-04-23,1005.3,24.9,94.0
2016-04-24,1006.0,24.5,84.0
2016-04-25,1008.1,23.0,92.0
2016-04-26,1005.0,25.8,86.0
2016-04-27,1002.1,26.7,81.0
2016-04-28,1009.9,19.7,78.0
2016-04-29,1010.9,20.6,66.0
2016-04-30,1008.4,21.3,94.0
2016-05-01,1007.9,23.5,88.0
2016-05-02,1004.5,27.9,67.0
2016-05-03,1007.6,26.0,80.0
2016-05-04,1008.1,27.0,82.0
2016-05-05,1007.2,23.3,98.0
2016-05-06,1005.2,29.0,70.0
2016-05-07,1007.6,26.4,93.0
2016-05-08,1008.5,25.0,93.0
2016-05-09,1004.7,25.4,93.0
2016-05-10,1002.7,25.4,91.0
2016-05-11,1006.6,21.0,77.0
2016-05-12,1005.7,26.6,72.0
2016-05-13,1010.5,25.2,92.0
2016-05-14,1009.3,28.1,69.0
2016-05-15,1005.4,25.3,92.0
2016-05-16,1010.3,18.5,83.0
2016-05-17,1009.6,19.7,85.0
2016-05-18,1008.1,23.8,85.0
2016-05-19,1006.0,23.3,81.0
2016-05-20,1005.4,24.4,83.0
2016-05-21,1005.2,24.9,95.0
2016-05-22,1004.1,26.0,88.0
2016-05-23,1003.9,24.3,95.0
2016-05-24,1003.3,23.5,91.0
2016-05-25,1004.7,25.0,87.0
2016-05-26,1005.4,26.2,93.0
2016-05-27,1006.3,25.9,96.0
2016-05-28,1003.8,28.1,90.0
2016-05-29,1001.7,31.0,69.0
2016-05-30,1004.7,27.3,91.0
2016-05-31,1003.0,30.2,75.0
2016-06-01,998.5,32.7,61.0
2016-06-02,1001.7,25.5,94.0
2016-06-03,1000.7,30.0,77.0
2016-06-04,1002.8,31.2,71.0
2016-06-05,1005.8,23.5,95.0
2016-06-06,1004.7,25.4,96.0
2016-06-07,1004.0,26.3,90.0
2016-06-08,1002.1,27.1,81.0
2016-06-09,1003.4,26.0,90.0
2016-06-10,1003.7,26.1,95.0
2016-06-11,1002.7,26.5,85.0
2016-06-12,1001.0,25.8,89.0
2016-06-13,998.7,29.0,68.0
2016-06-14,1001.2,24.2,98.0
2016-06-15,1000.5,29.4,77.0
2016-06-16,1002.0,31.4,69.0
2016-06-17,1007.3,25.2,96.0
2016-06-18,1009.2,24.8,93.0
2016-06-19,1007.2,28.4,80.0
2016-06-20,1005.3,26.1,94.0
2016-06-21,1005.4,26.1,94.0
2016-06-22,1004.3,30.2,72.0
2016-06-23,1003.5,29.2,76.0
2016-06-24,1004.1,26.4,93.0
2016-06-25,1005.7,27.3,90.0
2016-06-26,1005.8,28.6,79.0
2016-06-27,1005.3,30.2,73.0
2016-06-28,1008.0,26.4,92.0
2016-06-29,1008.4,28.7,87.0
2016-06-30,1007.1,28.6,76.0
2016-07-01,1005.8,30.0,74.0
2016-07-02,1006.2,24.9,93.0
2016-07-03,1006.5,26.3,86.0
2016-07-04,1004.8,29.2,76.0
2016-07-05,1004.3,30.8,62.0
2016-07-06,1003.8,30.3,67.0
2016-07-07,998.6,27.4,88.0
2016-07-08,991.9,28.1,82.0
2016-07-09,994.6,26.8,96.0
2016-07-10,998.0,26.1,93.0
2016-07-11,999.6,26.2,95.0
2016-07-12,1001.5,26.3,96.0
2016-07-13,1002.7,29.0,81.0
2016-07-14,1003.0,28.3,87.0
2016-07-15,1001.2,31.3,67.0
2016-07-16,1002.6,31.8,65.0
2016-07-17,1005.1,26.6,89.0
2016-07-18,1003.6,25.2,93.0
2016-07-19,1005.6,26.9,81.0
2016-07-20,1007.0,25.8,96.0
2016-07-21,1005.8,30.3,74.0
2016-07-22,1004.4,30.9,69.0
2016-07-23,1003.9,30.1,75.0
2016-07-24,1004.5,29.6,75.0
2016-07-25,1004.5,30.2,64.0
2016-07-26,1003.8,30.5,70.0
2016-07-27,1003.9,31.2,64.0
2016-07-28,1003.4,31.1,70.0
2016-07-29,1003.2,31.2,58.0
2016-07-30,1002.0,30.5,63.0
2016-07-31,999.9,29.8,75.0
2016-08-01,999.1,30.4,66.0
2016-08-02,1001.9,26.3,94.0
2016-08-03,1005.0,27.5,95.0
2016-08-04,1003.6,29.5,70.0
2016-08-05,1001.8,29.9,76.0
2016-08-06,998.7,28.5,75.0
2016-08-07,997.3,29.4,70.0
2016-08-08,997.4,29.2,74.0
2016-08-09,997.0,27.9,89.0
2016-08-10,998.9,27.5,88.0
2016-08-11,998.2,29.4,74.0
2016-08-12,998.3,29.5,69.0
2016-08-13,998.0,28.9,72.0
2016-08-14,997.5,29.9,63.0
2016-08-15,997.1,30.2,68.0
2016-08-16,997.4,29.3,77.0
2016-08-17,997.5,29.2,75.0
2016-08-18,998.8,29.7,75.0
2016-08-19,1001.1,24.7,92.0
2016-08-20,998.5,28.8,81.0
2016-08-21,998.5,29.6,73.0
2016-08-22,1000.3,29.6,62.0
2016-08-23,999.0,30.2,74.0
2016-08-24,998.8,29.6,73.0
2016-08-25,998.3,29.5,76.0
2016-08-26,1000.8,29.5,75.0
2016-08-27,1001.7,27.3,95.0
2016-08-28,1003.3,23.6,91.0
2016-08-29,1003.3,26.5,62.0
2016-08-30,1001.6,27.1,58.0
2016-08-31,1000.6,27.1,61.0
2016-09-01,998.8,28.0,59.0
2016-09-02,999.6,26.1,92.0
2016-09-03,1000.4,27.5,83.0
2016-09-04,1001.4,29.0,76.0
2016-09-05,1002.8,28.5,81.0
2016-09-06,1003.2,27.6,82.0
2016-09-07,1003.0,28.8,75.0
2016-09-08,1004.4,25.6,96.0
2016-09-09,1005.6,25.4,96.0
2016-09-10,1004.7,25.0,97.0
2016-09-11,1004.7,26.6,96.0
2016-09-12,1008.0,25.5,91.0
2016-09-13,1004.8,26.7,77.0
2016-09-14,997.0,27.8,73.0
2016-09-15,1001.3,27.8,78.0
2016-09-16,1000.6,29.0,77.0
2016-09-17,997.0,24.5,97.0
2016-09-18,1003.1,23.9,93.0
2016-09-19,1006.6,25.0,77.0
2016-09-20,1009.9,24.2,86.0
2016-09-21,1010.4,,77.0
2016-09-22,1009.7,25.5,76.0
2016-09-23,1007.6,25.2,78.0
2016-09-24,1005.7,25.5,75.0
2016-09-25,1005.4,26.5,80.0
2016-09-26,1000.3,27.0,89.0
2016-09-27,974.1,26.9,91.0
2016-09-28,997.7,27.4,86.0
2016-09-29,1004.1,27.1,86.0
2016-09-30,1006.1,26.2,85.0
2016-10-01,1006.0,28.0,71.0
2016-10-02,1004.2,27.5,74.0
2016-10-03,1003.2,26.3,76.0
2016-10-04,1003.5,26.6,72.0
2016-10-05,1005.8,26.9,82.0
2016-10-06,1005.8,27.0,72.0
2016-10-07,1003.1,26.2,83.0
2016-10-08,1004.5,24.9,92.0
2016-10-09,1007.8,21.9,93.0
2016-10-10,1006.7,23.3,97.0
2016-10-11,1008.1,23.9,92.0
2016-10-12,1010.8,22.7,89.0
2016-10-13,1010.4,23.7,90.0
2016-10-14,1009.7,24.3,92.0
2016-10-15,1008.2,26.3,88.0
2016-10-16,1007.1,27.9,72.0
2016-10-17,1006.4,27.1,82.0
2016-10-18,1007.4,27.7,73.0
2016-10-19,1004.9,27.7,76.0
2016-10-20,1000.9,30.1,68.0
2016-10-21,1003.8,28.7,77.0
2016-10-22,1004.7,26.8,85.0
2016-10-23,1007.1,25.2,83.0
2016-10-24,1007.7,25.8,74.0
2016-10-25,1008.8,27.4,79.0
2016-10-26,1011.7,28.1,77.0
2016-10-27,1010.9,27.4,86.0
2016-10-28,1010.7,26.7,82.0
2016-10-29,1017.6,21.9,89.0
2016-10-30,1017.2,21.8,74.0
2016-10-31,1016.6,22.6,78.0
2016-11-01,1018.2,20.2,86.0
2016-11-02,1017.5,20.3,67.0
2016-11-03,1013.8,20.2,79.0
2016-11-04,1008.8,21.0,87.0
2016-11-05,1008.1,23.9,74.0
2016-11-06,1010.7,25.2,71.0
2016-11-07,1012.2,23.8,73.0
2016-11-08,1016.9,20.0,87.0
2016-11-09,1015.9,19.0,78.0
2016-11-10,1015.9,18.9,88.0
2016-11-11,1014.2,21.0,69.0
2016-11-12,1013.6,22.9,87.0
2016-11-13,1012.0,24.3,82.0
2016-11-14,1010.8,24.0,87.0
2016-11-15,1013.4,23.2,79.0
2016-11-16,1013.0,23.2,79.0
2016-11-17,1011.0,25.2,69.0
2016-11-18,1009.8,22.4,93.0
2016-11-19,1009.4,24.7,83.0
2016-11-20,1010.8,22.5,91.0
2016-11-21,1009.6,22.2,87.0
2016-11-22,1012.3,22.0,91.0
2016-11-23,1015.6,19.0,90.0
2016-11-24,1015.6,18.1,87.0
2016-11-25,1013.0,21.3,86.0
2016-11-26,1011.9,20.3,93.0
2016-11-27,1016.2,18.1,87.0
2016-11-28,1019.8,19.0,64.0
2016-11-29,1018.9,20.5,77.0
2016-11-30,1016.5,21.9,83.0
2016-12-01,1020.4,18.2,89.0
2016-12-02,1019.7,18.8,87.0
2016-12-03,1015.2,22.0,89.0
