,pres_hpa,temp_cels,rh_percent
2017-01-01,1015.2,22.3,75.0
2017-01-02,1015.5,20.7,96.0
2017-01-03,1016.3,19.5,100.0
2017-01-04,1013.1,22.6,79.0
2017-01-05,1012.1,21.3,99.0
2017-01-06,1010.9,21.5,100.0
2017-01-07,1008.6,21.5,94.0
2017-01-08,1011.5,17.7,100.0
2017-01-09,1015.6,16.5,78.0
2017-01-10,1016.5,18.5,74.0
2017-01-11,1014.6,19.0,97.0
2017-01-12,1010.7,18.9,100.0
2017-01-13,1014.2,14.0,100.0
2017-01-14,1017.5,14.3,91.0
2017-01-15,1018.2,13.2,100.0
2017-01-16,1018.4,15.4,85.0
2017-01-17,1016.9,20.1,80.0
2017-01-18,1016.8,19.5,99.0
2017-01-19,1016.1,18.0,100.0
2017-01-20,1023.4,12.5,65.0
2017-01-21,1022.1,14.6,82.0
2017-01-22,1024.9,13.7,63.0
2017-01-23,1025.2,14.2,63.0
2017-01-24,1025.1,12.8,100.0
2017-01-25,1023.1,14.5,92.0
2017-01-26,1019.4,15.7,83.0
2017-01-27,1019.3,17.1,97.0
2017-01-28,1013.2,20.4,81.0
2017-01-29,1012.9,20.3,92.0
2017-01-30,1020.8,14.1,100.0
2017-01-31,1018.3,15.4,100.0
2017-02-01,1022.1,15.0,100.0
2017-02-02,1021.1,14.8,93.0
2017-02-03,1013.9,20.1,85.0
2017-02-04,1010.1,19.2,97.0
2017-02-05,1011.7,18.1,97.0
2017-02-06,1016.3,16.8,64.0
2017-02-07,1013.9,17.1,76.0
2017-02-08,1011.6,17.1,93.0
2017-02-09,1018.3,10.5,64.0
2017-02-10,1021.1,11.9,57.0
2017-02-11,1024.0,11.9,59.0
2017-02-12,1023.0,14.2,68.0
2017-02-13,1024.9,16.0,67.0
2017-02-14,1025.8,15.6,63.0
2017-02-15,1019.9,19.8,61.0
2017-02-16,1016.1,19.1,73.0
2017-02-17,1016.8,20.8,75.0
2017-02-18,1020.2,18.4,91.0
2017-02-19,1010.6,21.6,72.0
2017-02-20,1012.5,19.7,89.0
2017-02-21,,,
2017-02-22,,,
2017-02-23,,,
2017-02-24,1019.1,12.8,100.0
2017-02-25,1015.7,13.5,100.0
2017-02-26,1019.2,13.7,84.0
2017-02-27,1019.8,14.5,77.0
2017-02-28,1015.4,13.9,99.0
2017-03-01,1013.6,16.1,80.0
2017-03-02,1017.9,13.4,60.0
2017-03-03,1011.5,16.7,74.0
2017-03-04,1009.6,17.0,99.0
2017-03-05,1006.3,19.6,94.0
2017-03-06,1012.8,14.9,87.0
2017-03-07,1014.9,11.8,100.0
2017-03-08,1015.6,12.9,100.0
2017-03-09,1013.3,14.5,100.0
2017-03-10,1008.1,17.6,100.0
2017-03-11,1011.2,19.7,97.0
2017-03-12,1007.5,21.2,93.0
2017-03-13,1008.3,15.7,100.0
2017-03-14,1017.6,13.8,74.0
2017-03-15,1014.4,15.8,69.0
2017-03-16,1013.5,15.7,100.0
2017-03-17,1014.6,17.1,100.0
2017-03-18,1014.4,18.3,100.0
2017-03-19,1014.4,18.6,100.0
2017-03-20,1009.6,23.1,93.0
2017-03-21,1015.2,15.5,100.0
2017-03-22,1009.1,21.6,87.0
2017-03-23,1013.7,17.8,89.0
2017-03-24,1010.3,20.1,89.0
2017-03-25,1016.1,14.1,100.0
2017-03-26,1020.2,14.2,96.0
2017-03-27,1018.5,18.6,49.0
2017-03-28,1014.3,21.0,64.0
2017-03-29,1016.0,20.0,81.0
2017-03-30,1011.3,23.0,81.0
2017-03-31,1015.2,13.7,100.0
2017-04-01,1017.4,14.0,70.0
2017-04-02,1018.0,16.9,45.0
2017-04-03,1016.6,19.5,50.0
2017-04-04,1012.8,21.4,62.0
2017-04-05,1009.3,23.6,72.0
2017-04-06,1008.2,21.8,87.0
2017-04-07,1008.1,23.8,86.0
2017-04-08,1006.2,25.6,81.0
2017-04-09,1002.1,25.4,95.0
2017-04-10,1000.1,24.9,92.0
2017-04-11,1008.2,17.7,97.0
2017-04-12,1013.1,17.2,85.0
2017-04-13,1013.0,18.3,98.0
2017-04-14,1010.0,21.5,99.0
2017-04-15,1008.9,23.5,98.0
2017-04-16,1008.1,24.6,91.0
2017-04-17,1002.3,27.2,84.0
2017-04-18,1003.6,26.1,94.0
2017-04-19,1006.6,23.3,100.0
2017-04-20,1003.9,26.1,80.0
2017-04-21,1005.4,21.4,100.0
2017-04-22,1010.6,17.3,100.0
2017-04-23,1011.6,19.6,56.0
2017-04-24,1009.8,21.9,95.0
2017-04-25,1007.7,24.0,97.0
2017-04-26,1008.3,20.5,100.0
2017-04-27,1011.9,15.8,97.0
2017-04-28,1010.0,19.0,51.0
2017-04-29,1009.2,21.6,47.0
2017-04-30,1008.3,24.1,69.0
2017-05-01,1008.6,25.6,66.0
2017-05-02,1008.3,25.3,76.0
2017-05-03,1008.4,24.2,95.0
2017-05-04,1007.6,26.4,90.0
2017-05-05,1010.3,26.0,93.0
2017-05-06,1012.5,22.1,96.0
2017-05-07,1010.9,22.7,84.0
2017-05-08,1005.6,25.6,95.0
2017-05-09,1007.9,25.4,91.0
2017-05-10,1009.7,28.1,76.0
2017-05-11,1008.5,28.4,85.0
2017-05-12,1004.7,25.5,99.0
2017-05-13,1005.7,23.9,97.0
2017-05-14,1006.6,24.9,92.0
2017-05-15,1004.7,24.5,99.0
2017-05-16,1004.6,20.9,99.0
2017-05-17,1007.7,23.1,88.0
2017-05-18,1009.4,25.1,74.0
2017-05-19,1008.2,21.9,95.0
2017-05-20,1004.1,24.8,81.0
2017-05-21,1004.4,23.4,98.0
2017-05-22,1004.4,25.7,92.0
2017-05-23,1002.2,27.0,84.0
2017-05-24,1003.5,22.8,100.0
2017-05-25,1005.8,22.2,95.0
2017-05-26,1007.4,23.6,80.0
2017-05-27,1007.6,19.6,99.0
2017-05-28,1006.3,22.6,98.0
2017-05-29,1005.4,25.7,85.0
2017-05-30,1004.3,25.5,100.0
2017-05-31,999.4,29.2,71.0
2017-06-01,996.0,31.2,61.0
2017-06-02,999.6,23.7,100.0
2017-06-03,1000.5,23.8,100.0
2017-06-04,1003.3,24.7,100.0
2017-06-05,1004.6,27.1,98.0
2017-06-06,1005.5,28.5,94.0
2017-06-07,1006.3,29.5,92.0
2017-06-08,1006.0,27.9,98.0
2017-06-09,1005.3,28.3,96.0
2017-06-10,1003.8,27.8,100.0
2017-06-11,1004.6,27.0,99.0
2017-06-12,1005.2,24.6,100.0
2017-06-13,1004.0,26.6,100.0
2017-06-14,1005.8,23.6,100.0
2017-06-15,1004.8,22.3,100.0
2017-06-16,1000.8,24.1,100.0
