,pres_hpa,temp_cels,rh_percent
2020-01-01,1024.9,15.8,99.0
2020-01-02,1022.3,19.6,87.0
2020-01-03,1019.2,21.1,78.0
2020-01-04,1018.6,21.3,78.0
2020-01-05,1019.1,22.2,75.0
2020-01-06,1016.5,19.8,95.0
2020-01-07,1015.0,23.0,64.0
2020-01-08,1019.3,16.2,68.0
2020-01-09,1016.1,19.1,72.0
2020-01-10,1012.7,21.9,64.0
2020-01-11,1013.3,18.5,86.0
2020-01-12,1016.6,14.4,87.0
2020-01-13,1016.2,17.5,92.0
2020-01-14,1019.3,17.3,84.0
2020-01-15,1017.2,18.3,94.0
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,1020.1,14.2,96.0
2020-01-20,1022.1,15.3,77.0
2020-01-21,1019.9,19.0,72.0
2020-01-22,1017.0,20.5,91.0
2020-01-23,1016.4,20.7,87.0
2020-01-24,1017.8,20.9,92.0
2020-01-25,1014.8,18.2,99.0
2020-01-26,1010.1,14.9,99.0
2020-01-27,1014.8,14.1,94.0
2020-01-28,1016.6,13.0,93.0
2020-01-29,1018.7,11.9,79.0
2020-01-30,1020.4,10.2,65.0
2020-01-31,1021.2,12.3,62.0
2020-02-01,1021.4,14.3,66.0
2020-02-02,1019.4,18.1,66.0
2020-02-03,1019.5,17.7,77.0
2020-02-04,1017.8,17.2,92.0
2020-02-05,1021.6,15.2,87.0
2020-02-06,1015.8,20.1,82.0
2020-02-07,1020.6,16.6,84.0
2020-02-08,1024.2,16.0,73.0
2020-02-09,1023.7,14.9,72.0
2020-02-10,1019.9,18.0,60.0
2020-02-11,1017.6,20.9,63.0
2020-02-12,1014.8,21.7,66.0
2020-02-13,1014.1,19.5,97.0
2020-02-14,1013.8,18.5,98.0
2020-02-15,1011.2,23.4,91.0
2020-02-16,1023.1,10.3,86.0
2020-02-17,1027.7,11.0,52.0
2020-02-18,1024.4,13.8,55.0
2020-02-19,1021.3,18.9,57.0
2020-02-20,1023.9,18.0,87.0
2020-02-21,1023.6,18.4,91.0
2020-02-22,1025.1,17.7,89.0
2020-02-23,1021.5,19.7,81.0
2020-02-24,1016.4,22.8,68.0
2020-02-25,1014.7,23.7,57.0
2020-02-26,1017.4,21.8,85.0
2020-02-27,1019.0,18.6,91.0
2020-02-28,1014.7,19.8,88.0
2020-02-29,1011.1,23.4,68.0
2020-03-01,,,
2020-03-02,,,
2020-03-03,,,
2020-03-04,1018.5,16.6,82.0
2020-03-05,1019.0,14.8,89.0
2020-03-06,1013.3,21.4,79.0
2020-03-07,1010.5,21.5,89.0
2020-03-08,1008.0,23.8,83.0
2020-03-09,1004.2,22.6,95.0
2020-03-10,1016.6,15.6,80.0
2020-03-11,1017.8,17.3,70.0
