,pres_hpa,temp_cels,rh_percent
2016-01-01,998.3,18.1,87.0
2016-01-02,995.1,16.8,97.0
2016-01-03,994.2,17.4,96.0
2016-01-04,992.4,18.7,98.0
2016-01-05,992.1,17.8,86.0
2016-01-06,995.1,14.8,96.0
2016-01-07,995.8,14.6,92.0
2016-01-08,995.4,13.5,95.0
2016-01-09,995.3,14.1,92.0
2016-01-10,991.6,17.2,94.0
2016-01-11,991.8,14.2,99.0
2016-01-12,994.8,12.6,97.0
2016-01-13,995.5,11.0,99.0
2016-01-14,993.6,12.3,97.0
2016-01-15,990.6,13.5,98.0
2016-01-16,988.2,16.6,93.0
2016-01-17,985.2,14.6,98.0
2016-01-18,993.9,12.6,77.0
2016-01-19,997.3,10.5,95.0
2016-01-20,993.9,14.2,96.0
2016-01-21,992.3,13.5,99.0
2016-01-22,991.8,13.6,99.0
2016-01-23,1003.7,6.0,97.0
2016-01-24,1008.1,2.0,75.0
2016-01-25,1004.8,5.9,84.0
2016-01-26,999.5,13.4,76.0
2016-01-27,996.2,17.7,77.0
2016-01-28,994.5,15.1,98.0
2016-01-29,992.2,15.0,99.0
2016-01-30,996.8,13.4,99.0
2016-01-31,994.2,15.6,95.0
2016-02-01,999.6,9.7,98.0
2016-02-02,997.4,10.1,99.0
2016-02-03,997.3,11.8,97.0
2016-02-04,993.9,14.6,99.0
2016-02-05,993.7,11.0,98.0
2016-02-06,999.8,6.6,67.0
2016-02-07,998.7,6.2,81.0
2016-02-08,996.3,9.7,73.0
2016-02-09,994.3,15.6,67.0
2016-02-10,991.4,18.3,74.0
2016-02-11,991.1,17.6,86.0
2016-02-12,987.4,19.9,88.0
2016-02-13,987.4,20.9,85.0
2016-02-14,994.7,10.4,97.0
2016-02-15,999.2,7.3,94.0
2016-02-16,997.2,8.9,96.0
2016-02-17,997.2,10.2,96.0
2016-02-18,993.3,14.8,96.0
2016-02-19,992.9,12.4,99.0
2016-02-20,999.5,9.1,97.0
2016-02-21,997.7,14.1,72.0
2016-02-22,995.1,13.4,96.0
2016-02-23,999.4,11.8,99.0
2016-02-24,1004.1,10.1,95.0
2016-02-25,1003.1,11.1,96.0
2016-02-26,999.3,12.0,98.0
2016-02-27,997.2,13.0,99.0
2016-02-28,995.7,15.4,76.0
