,pres_hpa,temp_cels,rh_percent
2019-01-01,1024.2,15.9,84.0
2019-01-02,1022.9,17.5,85.0
2019-01-03,1023.3,18.9,84.0
2019-01-04,1019.3,19.8,83.0
2019-01-05,1017.8,19.8,80.0
2019-01-06,1019.9,17.9,80.0
2019-01-07,1016.8,21.6,77.0
2019-01-08,1019.9,18.9,83.0
2019-01-09,1019.6,19.3,78.0
2019-01-10,1016.3,23.2,79.0
2019-01-11,1015.0,20.8,81.0
2019-01-12,1017.7,18.2,78.0
2019-01-13,1017.7,18.1,81.0
2019-01-14,1015.6,20.2,68.0
2019-01-15,1017.0,20.4,78.0
2019-01-16,1018.3,16.2,84.0
2019-01-17,1021.7,15.7,72.0
2019-01-18,1018.5,18.7,53.0
2019-01-19,1015.8,20.1,69.0
2019-01-20,1019.2,16.8,75.0
2019-01-21,1019.4,15.2,77.0
2019-01-22,1019.6,14.7,55.0
2019-01-23,1018.0,16.8,58.0
2019-01-24,1017.5,17.2,64.0
2019-01-25,1019.3,18.4,68.0
2019-01-26,1024.1,14.2,54.0
2019-01-27,1020.3,15.5,61.0
2019-01-28,1018.6,18.6,63.0
2019-01-29,1018.5,20.2,64.0
2019-01-30,1016.7,21.4,59.0
2019-01-31,1019.5,17.5,71.0
2019-02-01,1020.0,15.2,70.0
2019-02-02,1014.3,22.3,62.0
2019-02-03,1015.1,23.2,63.0
2019-02-04,1016.8,16.6,81.0
2019-02-05,1012.9,17.5,82.0
2019-02-06,1010.5,22.5,64.0
2019-02-07,1013.1,18.9,79.0
2019-02-08,1014.6,16.0,80.0
2019-02-09,1019.3,16.1,78.0
2019-02-10,1021.0,16.6,82.0
2019-02-11,1023.5,15.4,82.0
2019-02-12,1019.3,22.4,74.0
2019-02-13,1019.8,17.8,83.0
2019-02-14,1019.0,18.2,82.0
2019-02-15,1016.2,20.1,81.0
2019-02-16,1017.3,16.2,79.0
2019-02-17,1017.3,16.7,83.0
2019-02-18,1012.0,20.3,81.0
2019-02-19,1016.2,20.4,81.0
2019-02-20,1016.7,23.2,75.0
2019-02-21,1014.3,20.7,81.0
2019-02-22,1016.6,16.5,76.0
2019-02-23,1016.4,14.4,81.0
2019-02-24,1013.8,15.5,85.0
2019-02-25,1015.7,17.8,74.0
2019-02-26,1013.4,18.2,73.0
2019-02-27,1010.8,22.2,72.0
2019-02-28,1014.6,17.6,78.0
2019-03-01,1013.7,19.2,81.0
2019-03-02,1008.6,22.3,71.0
2019-03-03,1008.5,17.8,81.0
2019-03-04,1014.2,17.2,63.0
2019-03-05,1010.9,16.7,77.0
2019-03-06,1014.7,16.1,79.0
2019-03-07,1018.6,12.6,81.0
2019-03-08,1013.7,16.8,85.0
2019-03-09,1006.8,18.9,88.0
2019-03-10,1011.3,16.1,75.0
2019-03-11,1011.9,17.2,65.0
2019-03-12,1014.1,20.9,50.0
2019-03-13,1016.9,20.3,60.0
2019-03-14,1017.3,18.9,71.0
2019-03-15,1019.6,17.2,56.0
2019-03-16,1016.8,18.2,64.0
2019-03-17,1015.6,19.6,83.0
2019-03-18,1012.0,22.2,70.0
2019-03-19,1012.6,20.9,73.0
2019-03-20,1008.4,24.8,76.0
2019-03-21,1006.7,25.5,76.0
2019-03-22,1013.3,18.1,79.0
2019-03-23,1019.1,15.7,70.0
2019-03-24,1014.6,18.3,81.0
2019-03-25,1014.2,18.6,82.0
2019-03-26,1016.4,20.1,67.0
2019-03-27,1011.4,24.2,70.0
2019-03-28,1006.1,25.7,66.0
2019-03-29,1007.5,22.0,76.0
2019-03-30,1012.2,21.5,67.0
2019-03-31,1018.7,17.0,76.0
2019-04-01,1019.4,16.8,69.0
2019-04-02,1013.9,20.6,79.0
2019-04-03,1014.4,21.9,76.0
2019-04-04,1011.5,22.1,81.0
2019-04-05,1010.9,20.8,71.0
2019-04-06,1008.7,24.4,64.0
2019-04-07,1007.6,26.2,68.0
2019-04-08,1008.7,28.0,58.0
2019-04-09,1004.9,27.7,67.0
2019-04-10,1009.1,20.6,80.0
2019-04-11,1010.5,19.0,83.0
2019-04-12,1014.0,20.0,64.0
2019-04-13,1011.7,22.1,81.0
2019-04-14,1012.4,22.3,70.0
2019-04-15,1013.1,19.0,72.0
2019-04-16,1008.6,19.7,80.0
2019-04-17,1008.8,21.6,67.0
2019-04-18,1007.5,26.3,61.0
2019-04-19,1005.4,24.1,85.0
2019-04-20,1004.8,24.4,75.0
2019-04-21,1005.5,25.6,71.0
2019-04-22,1006.9,26.2,84.0
2019-04-23,1005.4,29.2,63.0
2019-04-24,1005.1,28.0,73.0
2019-04-25,1005.3,28.8,62.0
2019-04-26,1010.3,25.3,74.0
2019-04-27,1011.6,23.0,81.0
2019-04-28,1009.3,26.9,64.0
2019-04-29,1006.3,27.5,67.0
2019-04-30,1003.6,27.5,69.0
2019-05-01,1009.2,20.9,76.0
2019-05-02,1011.8,18.8,83.0
2019-05-03,1012.8,22.6,51.0
2019-05-04,1010.5,23.1,61.0
2019-05-05,1007.8,24.9,58.0
2019-05-06,1009.2,20.0,81.0
2019-05-07,1010.1,19.1,75.0
2019-05-08,1006.1,22.1,80.0
2019-05-09,1006.0,20.3,85.0
2019-05-10,1007.8,22.9,72.0
2019-05-11,1008.9,23.2,79.0
2019-05-12,1008.2,25.9,78.0
2019-05-13,1005.8,27.7,72.0
2019-05-14,1006.7,26.1,76.0
2019-05-15,1005.5,26.6,77.0
2019-05-16,1002.4,29.5,69.0
2019-05-17,1001.1,28.2,72.0
2019-05-18,1002.2,29.5,69.0
2019-05-19,1002.9,29.4,69.0
2019-05-20,1008.3,22.9,68.0
2019-05-21,1007.7,23.0,48.0
2019-05-22,1006.6,24.6,60.0
2019-05-23,1008.8,24.3,72.0
2019-05-24,1008.8,26.9,61.0
2019-05-25,1007.6,27.0,58.0
2019-05-26,1006.4,28.2,60.0
2019-05-27,1005.9,27.5,74.0
2019-05-28,1008.7,22.9,76.0
2019-05-29,1009.0,22.3,62.0
2019-05-30,1005.9,27.5,71.0
2019-05-31,1005.8,27.5,71.0
2019-06-01,1004.3,27.3,77.0
2019-06-02,1001.9,31.3,57.0
2019-06-03,1004.7,30.0,54.0
2019-06-04,1005.3,30.1,63.0
2019-06-05,1007.3,29.6,66.0
2019-06-06,1007.0,29.7,70.0
2019-06-07,1006.9,29.5,60.0
2019-06-08,1003.3,31.3,64.0
2019-06-09,999.9,31.8,53.0
2019-06-10,1000.5,26.5,79.0
2019-06-11,1003.2,23.3,87.0
2019-06-12,1004.5,22.9,87.0
2019-06-13,998.9,25.3,88.0
2019-06-14,1000.8,24.7,72.0
2019-06-15,1003.8,25.9,54.0
2019-06-16,1005.0,28.5,57.0
2019-06-17,1007.7,28.4,71.0
2019-06-18,1005.5,30.3,71.0
2019-06-19,1003.4,32.1,61.0
2019-06-20,1002.0,32.4,56.0
2019-06-21,1000.3,32.9,55.0
2019-06-22,1001.2,27.8,72.0
2019-06-23,1004.2,25.3,87.0
2019-06-24,1006.5,25.6,81.0
2019-06-25,1005.7,25.0,86.0
2019-06-26,1000.1,27.5,75.0
2019-06-27,999.7,29.4,70.0
2019-06-28,999.9,30.8,66.0
2019-06-29,999.2,31.7,69.0
2019-06-30,1000.8,31.6,62.0
2019-07-01,999.3,31.1,64.0
2019-07-02,1002.3,28.1,83.0
2019-07-03,1005.2,29.5,68.0
2019-07-04,1003.5,31.2,58.0
2019-07-05,998.9,32.3,44.0
2019-07-06,999.3,30.9,57.0
2019-07-07,1002.3,31.6,56.0
2019-07-08,1001.6,31.0,64.0
2019-07-09,999.2,32.6,54.0
2019-07-10,1002.2,31.7,59.0
2019-07-11,1006.5,29.7,69.0
2019-07-12,1004.3,28.2,78.0
2019-07-13,1000.1,31.8,56.0
2019-07-14,1002.1,30.8,62.0
2019-07-15,1002.3,30.9,63.0
2019-07-16,1001.6,30.7,58.0
2019-07-17,996.2,29.0,80.0
2019-07-18,993.0,29.0,74.0
2019-07-19,997.0,31.7,63.0
2019-07-20,1002.0,29.1,77.0
2019-07-21,1003.5,27.2,82.0
2019-07-22,1004.6,26.7,81.0
2019-07-23,1003.7,27.4,79.0
2019-07-24,1004.8,29.3,74.0
2019-07-25,1004.3,31.1,69.0
2019-07-26,1003.3,29.6,69.0
2019-07-27,1003.8,30.2,68.0
2019-07-28,1004.7,30.6,60.0
2019-07-29,1003.7,31.3,61.0
2019-07-30,1003.3,31.0,57.0
2019-07-31,1003.2,31.4,56.0
2019-08-01,1003.1,31.3,55.0
2019-08-02,1001.6,29.5,60.0
2019-08-03,999.5,29.6,68.0
2019-08-04,998.9,31.1,62.0
2019-08-05,999.3,30.4,66.0
2019-08-06,999.1,30.2,58.0
2019-08-07,995.4,28.4,83.0
2019-08-08,989.4,28.8,77.0
2019-08-09,983.1,30.2,62.0
2019-08-10,991.4,33.0,53.0
2019-08-11,996.3,32.4,59.0
2019-08-12,997.2,31.5,62.0
2019-08-13,997.9,31.6,50.0
2019-08-14,997.4,32.4,58.0
2019-08-15,997.0,31.4,60.0
2019-08-16,999.3,31.8,58.0
2019-08-17,1001.4,32.0,56.0
2019-08-18,1002.3,26.8,81.0
2019-08-19,1002.9,27.0,75.0
2019-08-20,1002.3,28.2,76.0
2019-08-21,1002.0,28.0,76.0
2019-08-22,1003.3,30.9,59.0
2019-08-23,1002.9,29.2,76.0
2019-08-24,996.7,29.0,70.0
2019-08-25,1004.9,31.0,65.0
2019-08-26,1007.9,30.4,64.0
2019-08-27,1005.2,30.1,56.0
2019-08-28,1002.9,31.8,58.0
2019-08-29,1004.3,30.9,67.0
2019-08-30,1005.8,27.7,78.0
2019-08-31,1004.7,30.1,60.0
2019-09-01,1005.8,30.6,58.0
2019-09-02,1004.8,30.7,57.0
2019-09-03,1003.5,29.5,61.0
2019-09-04,1002.2,26.6,78.0
2019-09-05,999.0,27.7,74.0
2019-09-06,998.7,29.7,61.0
2019-09-07,1001.3,29.6,64.0
2019-09-08,1002.3,27.8,70.0
2019-09-09,1003.6,29.8,58.0
2019-09-10,1006.6,30.2,58.0
2019-09-11,1008.2,29.9,64.0
2019-09-12,1006.1,29.6,68.0
2019-09-13,1004.9,28.4,68.0
2019-09-14,1005.3,28.7,71.0
2019-09-15,1004.8,27.1,73.0
2019-09-16,1005.7,26.5,64.0
2019-09-17,1007.5,27.0,63.0
2019-09-18,1010.3,26.8,60.0
2019-09-19,1008.0,25.8,60.0
2019-09-20,1002.7,22.8,82.0
2019-09-21,1003.7,21.9,84.0
2019-09-22,1011.2,24.8,59.0
2019-09-23,1015.1,24.7,65.0
2019-09-24,1015.3,24.6,57.0
2019-09-25,1014.9,25.1,56.0
2019-09-26,1014.3,24.9,81.0
2019-09-27,1012.6,25.7,84.0
2019-09-28,1011.0,25.2,87.0
