,pres_hpa,temp_cels,rh_percent
2018-01-01,1016.6,16.9,80.0
2018-01-02,1013.6,20.2,68.0
2018-01-03,1014.4,20.3,72.0
2018-01-04,1011.8,19.2,90.0
2018-01-05,1014.6,15.9,90.0
2018-01-06,1012.0,17.2,93.0
2018-01-07,1011.3,17.2,93.0
2018-01-08,1013.1,15.5,91.0
2018-01-09,1019.7,10.0,86.0
2018-01-10,1021.8,8.7,75.0
2018-01-11,1024.2,10.6,58.0
2018-01-12,1025.4,8.4,74.0
2018-01-13,1021.9,11.9,77.0
2018-01-14,1016.2,14.9,70.0
2018-01-15,1011.5,19.8,65.0
2018-01-16,1008.0,18.0,85.0
2018-01-17,1011.4,20.1,80.0
2018-01-18,1013.0,20.1,90.0
2018-01-19,1013.5,17.8,92.0
2018-01-20,1012.0,18.4,92.0
2018-01-21,1008.3,19.5,89.0
2018-01-22,1011.5,16.0,75.0
2018-01-23,1012.5,17.3,84.0
2018-01-24,1013.2,15.9,82.0
2018-01-25,1012.3,17.7,80.0
2018-01-26,1016.8,13.6,86.0
2018-01-27,1010.6,18.7,73.0
2018-01-28,1012.9,13.8,89.0
2018-01-29,1017.7,10.9,89.0
2018-01-30,1015.4,13.3,92.0
2018-01-31,1014.4,14.6,91.0
2018-02-01,1017.0,11.9,93.0
2018-02-02,1020.9,11.0,90.0
2018-02-03,1021.7,9.0,90.0
2018-02-04,1022.4,8.4,92.0
2018-02-05,1021.5,7.4,95.0
2018-02-06,1019.3,9.5,74.0
2018-02-07,1016.5,11.3,93.0
2018-02-08,1014.6,12.3,86.0
2018-02-09,1011.6,16.3,94.0
2018-02-10,1014.7,15.4,92.0
2018-02-11,1020.9,11.7,89.0
2018-02-12,1021.7,12.2,69.0
2018-02-13,1017.7,16.1,64.0
2018-02-14,1012.2,16.6,84.0
2018-02-15,1011.0,19.4,73.0
2018-02-16,1010.4,18.3,84.0
2018-02-17,1013.9,17.6,75.0
2018-02-18,1011.9,18.7,84.0
2018-02-19,1010.1,20.1,69.0
2018-02-20,1008.7,18.4,93.0
2018-02-21,1012.1,16.1,87.0
2018-02-22,1016.1,13.7,93.0
2018-02-23,1016.0,16.3,78.0
2018-02-24,1013.7,17.2,88.0
2018-02-25,1016.1,15.1,91.0
2018-02-26,1016.2,16.4,72.0
2018-02-27,1011.6,18.1,85.0
2018-02-28,,,
2018-03-01,,,
2018-03-02,,,
2018-03-03,1006.5,22.3,90.0
2018-03-04,1007.8,23.2,88.0
2018-03-05,1012.7,17.2,89.0
2018-03-06,1015.6,16.8,84.0
2018-03-07,1011.9,16.6,93.0
2018-03-08,1019.1,11.2,91.0
2018-03-09,1019.5,12.5,73.0
2018-03-10,1017.6,15.5,56.0
2018-03-11,1015.7,18.8,53.0
2018-03-12,1013.3,19.7,59.0
2018-03-13,1011.4,21.2,67.0
2018-03-14,1010.9,22.8,69.0
2018-03-15,1010.0,20.8,73.0
2018-03-16,1013.7,18.0,86.0
2018-03-17,1014.0,19.6,84.0
2018-03-18,1010.3,22.0,80.0
2018-03-19,1006.4,23.0,82.0
2018-03-20,1008.9,15.1,91.0
2018-03-21,1013.5,13.2,65.0
2018-03-22,1012.9,14.2,64.0
2018-03-23,1015.2,18.8,60.0
2018-03-24,1014.4,20.3,58.0
2018-03-25,1014.2,21.7,59.0
2018-03-26,1012.1,21.3,75.0
