,pres_hpa,temp_cels,rh_percent
2018-01-01,1017.3,16.2,96.0
2018-01-02,1014.2,20.3,73.0
2018-01-03,1015.0,20.6,72.0
2018-01-04,1012.0,19.7,96.0
2018-01-05,1015.1,15.7,100.0
2018-01-06,1012.6,17.0,100.0
2018-01-07,1011.6,17.1,100.0
2018-01-08,1013.5,15.1,99.0
2018-01-09,1019.8,10.3,86.0
2018-01-10,1021.9,10.0,67.0
2018-01-11,1024.6,11.1,52.0
2018-01-12,1025.7,10.6,53.0
2018-01-13,1022.5,12.2,82.0
2018-01-14,1016.7,15.3,75.0
2018-01-15,1012.1,18.5,83.0
2018-01-16,1008.4,18.0,96.0
2018-01-17,1012.2,19.8,97.0
2018-01-18,1013.8,19.4,100.0
2018-01-19,1014.4,17.4,100.0
2018-01-20,1013.0,17.9,100.0
2018-01-21,1009.0,19.1,100.0
2018-01-22,1012.3,16.1,85.0
2018-01-23,1013.5,16.9,99.0
2018-01-24,1014.1,14.9,100.0
2018-01-25,1013.2,17.0,97.0
2018-01-26,1017.8,12.9,100.0
2018-01-27,1011.3,17.7,94.0
2018-01-28,1013.9,13.9,100.0
2018-01-29,1018.4,10.8,100.0
2018-01-30,1016.3,13.0,100.0
2018-01-31,1015.0,14.2,100.0
2018-02-01,1017.5,11.9,100.0
2018-02-02,1021.4,10.7,100.0
2018-02-03,1022.1,9.0,99.0
2018-02-04,1022.8,8.3,99.0
2018-02-05,1022.0,7.6,100.0
2018-02-06,1019.8,10.5,59.0
2018-02-07,1017.2,11.3,100.0
2018-02-08,1015.5,11.8,100.0
2018-02-09,1012.1,16.5,100.0
2018-02-10,1015.2,15.2,100.0
2018-02-11,1021.6,11.3,100.0
2018-02-12,1022.4,13.1,61.0
2018-02-13,1018.5,15.8,67.0
2018-02-14,1012.8,17.2,86.0
2018-02-15,1011.4,19.9,72.0
2018-02-16,,,
2018-02-17,1014.9,17.0,87.0
2018-02-18,1012.4,17.3,95.0
2018-02-19,1010.6,19.3,87.0
2018-02-20,1009.3,18.1,100.0
2018-02-21,1013.1,15.2,100.0
2018-02-22,1016.8,13.8,100.0
2018-02-23,1016.9,16.3,86.0
2018-02-24,1014.2,16.7,100.0
2018-02-25,1016.7,14.9,100.0
2018-02-26,1016.9,16.4,78.0
2018-02-27,1011.8,18.6,92.0
2018-02-28,1009.0,18.5,100.0
2018-03-01,1008.7,20.9,90.0
2018-03-02,1006.8,20.7,96.0
2018-03-03,1007.0,21.1,97.0
2018-03-04,1007.9,23.7,95.0
2018-03-05,1013.7,16.8,100.0
2018-03-06,1016.5,16.1,100.0
2018-03-07,1012.1,16.7,100.0
2018-03-08,1019.4,11.6,93.0
2018-03-09,1019.8,13.3,69.0
2018-03-10,1018.4,15.2,60.0
2018-03-11,1016.3,18.8,52.0
2018-03-12,1013.7,20.3,61.0
2018-03-13,1011.6,21.6,74.0
2018-03-14,1011.1,23.1,72.0
2018-03-15,1010.4,20.5,81.0
2018-03-16,1014.5,17.5,100.0
2018-03-17,1014.7,18.7,100.0
2018-03-18,1010.6,21.4,100.0
2018-03-19,1006.8,22.9,
2018-03-20,1009.6,14.9,
2018-03-21,1014.0,14.0,60.0
2018-03-22,1013.5,14.3,61.0
2018-03-23,1015.8,19.2,55.0
2018-03-24,1015.1,20.4,58.0
2018-03-25,1014.7,21.9,60.0
2018-03-26,1012.6,21.6,74.0
2018-03-27,1011.5,20.6,84.0
2018-03-28,1010.0,22.5,74.0
2018-03-29,1009.8,23.8,65.0
2018-03-30,1011.6,22.5,56.0
2018-03-31,1009.8,22.6,62.0
2018-04-01,1008.2,23.6,52.0
2018-04-02,1008.5,24.3,64.0
2018-04-03,1009.4,23.1,86.0
2018-04-04,1008.4,24.2,72.0
2018-04-05,1006.7,24.3,77.0
2018-04-06,1018.0,14.2,83.0
2018-04-07,1020.0,15.3,48.0
2018-04-08,1014.6,19.3,60.0
2018-04-09,1011.8,22.2,61.0
2018-04-10,1009.2,23.1,67.0
2018-04-11,1006.5,25.0,82.0
2018-04-12,1008.1,24.4,91.0
2018-04-13,1007.3,26.6,79.0
2018-04-14,1006.4,24.4,96.0
2018-04-15,1013.8,17.6,78.0
2018-04-16,1013.4,19.0,64.0
2018-04-17,1014.2,17.3,73.0
2018-04-18,1011.6,20.3,75.0
2018-04-19,1010.8,23.3,68.0
2018-04-20,1010.2,24.1,70.0
2018-04-21,1008.3,25.7,71.0
2018-04-22,1005.7,27.0,73.0
2018-04-23,1003.4,27.8,67.0
2018-04-24,1008.8,19.2,96.0
2018-04-25,1009.7,19.8,68.0
2018-04-26,1009.3,21.8,77.0
2018-04-27,1012.5,22.6,84.0
2018-04-28,1009.9,24.0,73.0
2018-04-29,1008.0,24.6,88.0
2018-04-30,1008.9,26.0,80.0
2018-05-01,1007.4,27.2,79.0
2018-05-02,1007.7,27.4,81.0
2018-05-03,1014.4,21.1,78.0
2018-05-04,1012.7,23.8,69.0
2018-05-05,1010.9,26.6,72.0
2018-05-06,1006.1,27.6,76.0
2018-05-07,1002.2,27.2,90.0
2018-05-08,1008.4,22.8,86.0
2018-05-09,1013.9,22.7,69.0
2018-05-10,1012.4,22.6,69.0
2018-05-11,1008.0,26.7,65.0
2018-05-12,1006.1,26.1,79.0
2018-05-13,1005.5,27.9,71.0
2018-05-14,1005.4,29.1,71.0
2018-05-15,1005.5,28.5,78.0
2018-05-16,1004.5,28.7,83.0
2018-05-17,1002.6,28.4,85.0
2018-05-18,1002.4,28.3,86.0
2018-05-19,1004.6,27.7,85.0
2018-05-20,1005.1,28.8,83.0
2018-05-21,1006.6,26.9,84.0
2018-05-22,1004.7,28.0,81.0
2018-05-23,1008.1,22.5,96.0
2018-05-24,1005.0,26.1,79.0
2018-05-25,1002.3,28.7,83.0
2018-05-26,1002.1,31.0,69.0
2018-05-27,1003.8,28.9,86.0
2018-05-28,1004.5,29.7,80.0
2018-05-29,1004.9,28.9,87.0
2018-05-30,1005.6,28.9,80.0
2018-05-31,1005.3,29.5,79.0
2018-06-01,1009.4,22.0,90.0
2018-06-02,1007.1,24.4,87.0
2018-06-03,1004.6,26.0,91.0
2018-06-04,1004.7,27.0,91.0
2018-06-05,1004.4,29.0,87.0
2018-06-06,1005.3,27.4,92.0
2018-06-07,1003.3,27.6,95.0
2018-06-08,999.4,28.5,90.0
2018-06-09,996.2,27.1,87.0
2018-06-10,996.6,26.3,98.0
2018-06-11,999.0,25.6,86.0
2018-06-12,999.4,28.7,56.0
2018-06-13,996.0,27.5,70.0
2018-06-14,994.5,25.4,92.0
2018-06-15,998.3,25.6,87.0
2018-06-16,1001.7,25.6,91.0
2018-06-17,1000.1,28.3,83.0
2018-06-18,999.6,27.4,95.0
2018-06-19,999.8,29.2,73.0
2018-06-20,1000.0,30.1,78.0
2018-06-21,1003.2,25.7,96.0
2018-06-22,1003.1,26.9,95.0
2018-06-23,1004.3,27.2,89.0
2018-06-24,1005.3,29.7,81.0
2018-06-25,1006.8,28.9,87.0
2018-06-26,1006.3,30.5,68.0
2018-06-27,1003.8,30.7,67.0
2018-06-28,1000.5,30.5,73.0
2018-06-29,1000.1,28.6,85.0
2018-06-30,1000.3,29.6,77.0
2018-07-01,999.1,30.7,74.0
2018-07-02,996.5,33.0,54.0
2018-07-03,996.1,32.6,54.0
2018-07-04,995.8,32.9,49.0
2018-07-05,997.0,30.4,64.0
2018-07-06,998.3,28.0,87.0
2018-07-07,1001.2,27.3,89.0
2018-07-08,1002.2,30.8,66.0
2018-07-09,1002.5,29.7,69.0
2018-07-10,995.1,28.5,84.0
2018-07-11,999.7,29.9,75.0
2018-07-12,1001.8,30.1,68.0
2018-07-13,1002.8,30.0,68.0
2018-07-14,1002.6,30.0,68.0
2018-07-15,1002.7,29.2,73.0
2018-07-16,1001.3,28.7,85.0
2018-07-17,1001.0,30.3,74.0
2018-07-18,1001.5,30.0,73.0
2018-07-19,1002.0,29.6,77.0
2018-07-20,999.8,28.5,83.0
2018-07-21,996.4,26.8,96.0
2018-07-22,997.0,29.9,76.0
2018-07-23,999.5,29.7,83.0
2018-07-24,1002.4,29.7,87.0
2018-07-25,1002.0,31.1,76.0
2018-07-26,1001.4,30.5,76.0
2018-07-27,1001.7,29.5,82.0
2018-07-28,1000.5,29.7,84.0
2018-07-29,999.6,30.8,72.0
2018-07-30,999.5,31.0,74.0
2018-07-31,999.1,32.8,60.0
2018-08-01,998.5,31.9,75.0
2018-08-02,996.4,32.5,65.0
2018-08-03,999.6,27.2,92.0
2018-08-04,1000.6,29.8,84.0
2018-08-05,1000.9,30.7,79.0
2018-08-06,1000.1,30.7,68.0
2018-08-07,999.8,30.2,71.0
2018-08-08,1000.4,29.6,78.0
2018-08-09,1000.1,30.1,76.0
2018-08-10,998.3,30.0,81.0
2018-08-11,995.4,30.3,77.0
2018-08-12,991.9,29.1,82.0
2018-08-13,995.1,30.5,80.0
2018-08-14,995.5,27.3,90.0
2018-08-15,997.0,30.0,80.0
2018-08-16,995.6,30.5,79.0
2018-08-17,996.6,28.0,92.0
2018-08-18,998.0,27.8,88.0
2018-08-19,1000.0,27.3,94.0
2018-08-20,997.9,29.7,79.0
2018-08-21,995.7,29.8,78.0
2018-08-22,993.4,30.4,72.0
2018-08-23,991.1,27.8,95.0
2018-08-24,993.9,28.0,89.0
2018-08-25,994.5,30.2,75.0
2018-08-26,996.4,28.5,86.0
2018-08-27,1001.3,27.0,91.0
2018-08-28,1003.5,25.5,98.0
2018-08-29,1003.6,27.1,84.0
2018-08-30,1007.3,25.7,96.0
2018-08-31,1007.8,25.7,92.0
2018-09-01,1005.0,27.8,78.0
2018-09-02,1002.1,29.4,80.0
2018-09-03,999.2,30.8,69.0
2018-09-04,1000.4,30.0,71.0
2018-09-05,1001.3,30.0,79.0
2018-09-06,1000.9,30.1,83.0
2018-09-07,1002.3,27.4,94.0
2018-09-08,1004.7,25.5,100.0
2018-09-09,1008.7,23.4,97.0
2018-09-10,1006.2,24.5,98.0
2018-09-11,1003.7,28.5,79.0
2018-09-12,1004.4,29.3,72.0
2018-09-13,1006.1,29.2,77.0
2018-09-14,1005.5,28.5,88.0
2018-09-15,1002.1,30.7,72.0
2018-09-16,1005.3,29.1,80.0
2018-09-17,1008.5,30.9,74.0
2018-09-18,1009.2,29.4,74.0
2018-09-19,1007.2,29.1,71.0
2018-09-20,1006.0,29.8,70.0
2018-09-21,1008.3,28.7,84.0
2018-09-22,1010.0,28.6,85.0
2018-09-23,1007.8,27.0,94.0
2018-09-24,1006.4,26.6,84.0
2018-09-25,1004.8,27.1,77.0
2018-09-26,1005.1,25.7,86.0
2018-09-27,1004.5,25.6,86.0
2018-09-28,1003.1,24.4,94.0
2018-09-29,1003.7,22.9,81.0
2018-09-30,1008.5,23.9,67.0
2018-10-01,1011.3,25.3,69.0
2018-10-02,1012.3,24.1,63.0
2018-10-03,1011.3,24.8,68.0
2018-10-04,1005.9,22.9,87.0
2018-10-05,1006.4,25.8,70.0
2018-10-06,1011.1,24.6,78.0
2018-10-07,1010.9,23.6,85.0
2018-10-08,1009.7,23.6,97.0
2018-10-09,1009.4,24.5,94.0
2018-10-10,1011.5,22.4,98.0
2018-10-11,1016.2,20.1,97.0
2018-10-12,1016.2,19.3,98.0
2018-10-13,1014.6,20.8,99.0
2018-10-14,1011.6,22.7,99.0
2018-10-15,1009.5,23.8,91.0
2018-10-16,1008.8,22.5,97.0
2018-10-17,1010.1,20.9,99.0
2018-10-18,1014.0,23.2,72.0
2018-10-19,1016.9,20.5,86.0
2018-10-20,1016.1,22.1,75.0
2018-10-21,1012.8,22.8,85.0
2018-10-22,1011.2,24.6,89.0
2018-10-23,1013.6,22.8,93.0
2018-10-24,1013.5,23.6,85.0
2018-10-25,1011.8,24.7,90.0
2018-10-26,1012.5,24.7,86.0
2018-10-27,1016.6,20.4,57.0
2018-10-28,1012.3,18.9,73.0
2018-10-29,1012.3,21.7,53.0
2018-10-30,1013.2,23.3,74.0
2018-10-31,1016.5,18.7,95.0
2018-11-01,1016.7,19.4,96.0
2018-11-02,1013.5,21.8,97.0
2018-11-03,1012.5,23.5,95.0
2018-11-04,1013.0,23.4,98.0
2018-11-05,1013.2,23.8,97.0
2018-11-06,1013.5,24.9,88.0
2018-11-07,1011.9,25.6,85.0
2018-11-08,1011.9,24.2,92.0
2018-11-09,1015.5,21.2,98.0
2018-11-10,1013.9,23.3,93.0
2018-11-11,1011.2,23.2,90.0
2018-11-12,1010.7,22.7,92.0
2018-11-13,1012.3,20.5,93.0
2018-11-14,1014.1,21.4,80.0
2018-11-15,1012.9,22.8,86.0
2018-11-16,1012.4,23.8,89.0
2018-11-17,1013.6,21.4,98.0
2018-11-18,1011.7,24.3,93.0
