,pres_hpa,temp_cels,rh_percent
2019-01-01,1024.8,15.6,99.0
2019-01-02,1023.3,17.2,100.0
2019-01-03,1023.8,18.6,99.0
2019-01-04,1019.6,19.7,97.0
2019-01-05,1018.2,19.5,96.0
2019-01-06,1020.3,17.5,97.0
2019-01-07,1017.0,21.4,91.0
2019-01-08,1020.2,18.5,100.0
2019-01-09,1020.0,19.1,95.0
2019-01-10,1016.5,23.1,94.0
2019-01-11,1015.2,20.5,99.0
2019-01-12,1018.1,18.0,96.0
2019-01-13,1018.0,17.8,99.0
2019-01-14,1016.1,20.0,82.0
2019-01-15,1017.3,19.8,99.0
2019-01-16,1018.6,15.8,100.0
2019-01-17,1022.2,15.2,90.0
2019-01-18,1019.1,18.3,55.0
2019-01-19,1016.3,19.4,82.0
2019-01-20,1019.6,16.5,90.0
2019-01-21,1019.9,14.9,93.0
2019-01-22,1020.1,14.2,62.0
2019-01-23,1018.5,16.4,63.0
2019-01-24,1018.0,17.0,71.0
2019-01-25,1019.6,18.1,77.0
2019-01-26,1024.6,13.8,58.0
2019-01-27,1020.6,15.1,69.0
2019-01-28,1018.9,18.4,68.0
2019-01-29,1019.0,19.9,71.0
2019-01-30,1017.0,20.7,63.0
2019-01-31,1019.7,17.2,85.0
