遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,107000001,2018/04/23,26711650,534233,7896500,01,04,05,06,07,09,11,12,13,15,20,24
雙贏彩,107000002,2018/04/24,24100300,482006,8263400,01,02,03,05,07,08,09,10,12,13,17,24
雙贏彩,107000003,2018/04/25,24035050,480701,6897300,02,03,05,07,08,10,15,16,17,18,19,24
雙贏彩,107000004,2018/04/26,22596550,451931,5981300,04,06,07,08,09,12,13,17,18,19,23,24
雙贏彩,107000005,2018/04/27,22380500,447610,5758000,04,05,06,07,08,11,12,13,18,20,22,23
雙贏彩,107000006,2018/04/28,18736000,374720,4439400,01,02,05,07,08,09,14,16,19,20,22,23
雙贏彩,107000007,2018/04/30,22472550,449451,6391200,02,03,06,07,11,14,16,17,18,20,22,24
雙贏彩,107000008,2018/05/01,18045800,360916,20006600,04,08,10,12,13,15,16,20,21,22,23,24
雙贏彩,107000009,2018/05/02,18132500,362650,4307700,02,07,08,09,10,11,12,15,18,20,23,24
雙贏彩,107000010,2018/05/03,17668250,353365,5520800,04,08,09,10,12,13,15,16,17,20,21,23
雙贏彩,107000011,2018/05/04,19002150,380043,5631700,03,04,05,12,13,14,18,19,20,21,23,24
雙贏彩,107000012,2018/05/05,16508100,330162,5520500,02,03,09,10,13,14,15,16,17,19,22,23
雙贏彩,107000013,2018/05/07,19472150,389443,21648800,01,02,03,05,06,11,13,17,18,19,20,23
雙贏彩,107000014,2018/05/08,17768700,355374,6191400,02,03,04,06,11,13,14,15,18,19,20,24
雙贏彩,107000015,2018/05/09,16943300,338866,6641500,04,05,06,08,13,14,17,18,19,20,23,24
雙贏彩,107000016,2018/05/10,17204250,344085,5410500,04,05,06,07,09,10,15,20,21,22,23,24
雙贏彩,107000017,2018/05/11,18165500,363310,4870800,01,07,08,09,10,13,15,16,17,19,21,22
雙贏彩,107000018,2018/05/12,17156250,343125,20208000,02,04,07,08,10,11,13,14,17,19,20,24
雙贏彩,107000019,2018/05/14,19834400,396688,4941700,02,05,07,11,12,15,16,18,19,20,23,24
雙贏彩,107000020,2018/05/15,17016350,340327,19425500,01,02,04,11,13,16,17,18,19,20,23,24
雙贏彩,107000021,2018/05/16,16097700,321954,20591500,01,03,04,07,08,10,15,16,17,18,21,22
雙贏彩,107000022,2018/05/17,15503500,310070,18956800,02,03,04,07,11,14,15,16,18,21,22,24
雙贏彩,107000023,2018/05/18,17559450,351189,5109600,03,09,10,11,12,13,14,16,17,18,20,21
雙贏彩,107000024,2018/05/19,14719700,294394,6365200,03,04,05,06,08,09,15,20,21,22,23,24
雙贏彩,107000025,2018/05/21,17166400,343328,43442000,02,04,07,08,12,13,15,18,19,20,23,24
雙贏彩,107000026,2018/05/22,15970350,319407,3966000,01,02,04,06,12,13,14,15,17,19,22,24
雙贏彩,107000027,2018/05/23,16292000,325840,4049400,01,02,03,04,06,07,09,11,13,21,22,24
雙贏彩,107000028,2018/05/24,15626600,312532,20896800,03,04,05,06,09,10,11,12,13,14,20,23
雙贏彩,107000029,2018/05/25,17607050,352141,4620400,04,06,07,08,09,10,12,13,14,18,22,23
雙贏彩,107000030,2018/05/26,13981650,279633,6140700,04,06,07,10,13,15,16,17,19,20,23,24
雙贏彩,107000031,2018/05/28,15919400,318388,3925200,01,02,04,06,08,10,11,12,14,15,17,22
雙贏彩,107000032,2018/05/29,14997250,299945,18350400,01,02,04,05,10,11,12,13,15,16,19,21
雙贏彩,107000033,2018/05/30,13738900,274778,3941000,06,09,11,13,14,16,17,18,19,21,22,23
雙贏彩,107000034,2018/05/31,13509400,270188,3847500,01,03,09,10,14,15,16,17,18,20,21,23
雙贏彩,107000035,2018/06/01,14359900,287198,19663400,01,02,07,08,12,13,14,16,17,19,20,22
雙贏彩,107000036,2018/06/02,13244850,264897,5499600,03,04,06,09,12,14,16,17,18,20,21,24
雙贏彩,107000037,2018/06/04,14971400,299428,242354100,02,06,08,09,10,12,14,16,18,20,22,24
雙贏彩,107000038,2018/06/05,19533650,390673,5617500,03,04,06,07,08,09,11,14,16,18,19,22
雙贏彩,107000039,2018/06/06,20854050,417081,4806100,01,03,05,06,10,12,13,16,19,20,21,23
雙贏彩,107000040,2018/06/07,19777000,395540,4509500,02,03,04,07,09,10,11,13,19,21,23,24
雙贏彩,107000041,2018/06/08,20377250,407545,5938000,02,04,06,11,12,14,15,16,17,18,19,22
雙贏彩,107000042,2018/06/09,17006000,340120,4372600,02,06,07,09,10,13,14,17,18,20,21,24
雙贏彩,107000043,2018/06/11,19485050,389701,24693300,01,02,03,04,05,08,11,15,19,20,22,23
雙贏彩,107000044,2018/06/12,17331300,346626,9223300,01,03,05,06,08,09,11,13,15,20,21,23
雙贏彩,107000045,2018/06/13,17429450,348589,4632200,01,02,03,04,08,09,10,11,14,18,20,24
雙贏彩,107000046,2018/06/14,15247950,304959,3671100,02,03,04,06,08,12,13,15,16,17,22,24
雙贏彩,107000047,2018/06/15,16456800,329136,9251000,01,02,03,04,05,07,08,10,12,18,20,24
雙贏彩,107000048,2018/06/16,15457500,309150,3889700,01,02,05,07,09,11,13,18,20,21,22,23
雙贏彩,107000049,2018/06/18,16355550,327111,5695300,02,03,06,07,10,12,13,16,18,19,21,23
雙贏彩,107000050,2018/06/19,13683900,273678,3664900,03,04,05,06,07,08,09,10,11,19,22,23
雙贏彩,107000051,2018/06/20,14723550,294471,18438000,01,02,05,06,10,12,15,17,19,20,21,22
雙贏彩,107000052,2018/06/21,14265300,285306,7193800,03,04,06,08,09,14,16,18,19,22,23,24
雙贏彩,107000053,2018/06/22,15045050,300901,5687700,01,02,05,07,09,11,14,17,18,20,22,24
雙贏彩,107000054,2018/06/23,13776450,275529,3599300,02,06,07,08,09,10,12,15,16,18,20,23
雙贏彩,107000055,2018/06/25,15359250,307185,19018300,05,06,08,09,10,11,12,19,20,22,23,24
雙贏彩,107000056,2018/06/26,13529800,270596,3636300,03,06,08,09,11,12,13,17,18,20,22,24
雙贏彩,107000057,2018/06/27,13524150,270483,3272300,03,05,06,08,10,12,14,15,17,21,22,24
雙贏彩,107000058,2018/06/28,12887550,257751,4398700,01,03,05,07,08,10,14,16,17,19,22,23
雙贏彩,107000059,2018/06/29,13362100,267242,4969200,03,05,07,09,10,11,12,13,14,18,20,23
雙贏彩,107000060,2018/06/30,12351650,247033,2213200,01,03,07,08,11,12,17,18,19,21,23,24
雙贏彩,107000061,2018/07/02,13583800,271676,33488100,04,06,08,09,14,16,17,19,20,21,22,24
雙贏彩,107000062,2018/07/03,12446450,248929,3678500,03,07,08,10,11,12,13,15,19,20,21,22
雙贏彩,107000063,2018/07/04,12476550,249531,3493500,03,04,05,10,12,13,14,15,16,17,21,22
雙贏彩,107000064,2018/07/05,12725100,254502,3866700,01,02,03,05,06,07,10,11,13,18,19,24
雙贏彩,107000065,2018/07/06,13161800,263236,3298200,01,04,05,10,11,13,14,16,17,19,20,21
雙贏彩,107000066,2018/07/07,11619400,232388,19184000,01,03,05,11,14,15,16,17,18,21,23,24
