遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,108000001,2019/01/01,5347600,106952,1193800,01,09,10,11,14,15,17,19,20,21,22,23
雙贏彩,108000002,2019/01/02,5753250,115065,1629200,01,04,06,09,12,13,16,18,19,20,22,23
雙贏彩,108000003,2019/01/03,5530750,110615,1603100,01,03,04,05,06,07,11,14,15,17,18,22
雙贏彩,108000004,2019/01/04,5781550,115631,16050300,01,03,04,06,07,08,11,12,13,18,22,23
雙贏彩,108000005,2019/01/05,6200500,124010,1476400,01,02,03,06,07,09,12,14,15,19,21,22
雙贏彩,108000006,2019/01/07,6439450,128789,2081100,01,06,08,14,16,17,18,19,20,21,22,24
雙贏彩,108000007,2019/01/08,5571400,111428,2001100,02,03,04,05,11,12,14,15,20,21,22,23
雙贏彩,108000008,2019/01/09,6028050,120561,1667400,01,02,05,08,12,13,14,19,20,21,22,24
雙贏彩,108000009,2019/01/10,5786350,115727,1141300,02,03,04,05,06,09,12,13,14,17,18,21
雙贏彩,108000010,2019/01/11,5914500,118290,1891700,02,05,09,10,11,12,13,19,20,22,23,24
雙贏彩,108000011,2019/01/12,6005200,120104,1687600,05,07,08,10,12,13,14,15,17,21,23,24
雙贏彩,108000012,2019/01/14,6272850,125457,1793200,01,05,06,11,12,14,15,16,20,21,22,24
雙贏彩,108000013,2019/01/15,5427100,108542,1294100,02,03,05,06,07,09,11,12,20,21,22,24
雙贏彩,108000014,2019/01/16,5323150,106463,3032900,04,07,08,09,10,13,15,16,17,19,21,23
雙贏彩,108000015,2019/01/17,5449600,108992,1945300,01,04,07,08,10,11,12,16,17,20,21,24
雙贏彩,108000016,2019/01/18,5488000,109760,1353600,04,05,06,07,10,11,12,13,16,20,21,22
雙贏彩,108000017,2019/01/19,5940300,118806,2195200,02,03,04,06,08,10,12,15,20,21,22,24
雙贏彩,108000018,2019/01/21,6064750,121295,2342500,02,08,10,11,15,17,19,20,21,22,23,24
雙贏彩,108000019,2019/01/22,5275100,105502,1621900,01,04,11,12,15,16,17,18,19,20,23,24
雙贏彩,108000020,2019/01/23,5787200,115744,1611800,03,04,05,07,09,10,11,14,15,16,17,20
雙贏彩,108000021,2019/01/24,5377700,107554,1183900,01,05,07,08,09,11,14,15,16,18,21,24
雙贏彩,108000022,2019/01/25,5424850,108497,1520900,01,04,05,09,10,11,13,17,19,20,23,24
雙贏彩,108000023,2019/01/26,5554550,111091,1693100,04,05,06,08,10,11,13,14,17,19,21,23
雙贏彩,108000024,2019/01/28,5860300,117206,1311100,02,03,04,06,11,12,17,19,20,21,22,24
雙贏彩,108000025,2019/01/29,5122150,102443,1765900,06,08,10,11,12,13,15,16,17,18,19,21
雙贏彩,108000026,2019/01/30,5664500,113290,1327100,02,04,06,09,15,17,18,19,20,21,22,24
雙贏彩,108000027,2019/01/31,5378800,107576,1388700,02,05,06,12,13,15,16,19,20,22,23,24
雙贏彩,108000028,2019/02/01,5433400,108668,1113700,01,02,06,09,10,12,13,17,18,20,23,24
雙贏彩,108000029,2019/02/02,5150000,103000,1291000,01,02,03,04,05,07,09,12,13,15,18,19
雙贏彩,108000030,2019/02/04,6803350,136067,2035900,01,06,08,09,10,14,18,19,21,22,23,24
雙贏彩,108000031,2019/02/05,6237550,124751,1381800,01,04,05,07,09,14,15,17,18,20,22,23
雙贏彩,108000032,2019/02/06,5791800,115836,2276800,01,05,06,07,12,13,14,15,16,18,20,23
雙贏彩,108000033,2019/02/07,5538000,110760,2125600,01,04,06,07,08,10,13,16,17,18,20,23
雙贏彩,108000034,2019/02/08,5978800,119576,2181100,03,06,07,10,11,13,15,17,18,20,21,23
雙贏彩,108000035,2019/02/09,5594300,111886,1364200,02,04,06,07,08,11,13,14,15,17,23,24
雙贏彩,108000036,2019/02/11,6700350,134007,1642500,03,07,08,10,12,14,15,16,17,20,21,24
雙贏彩,108000037,2019/02/12,5148150,102963,1275800,02,03,05,06,08,12,13,14,17,18,19,24
雙贏彩,108000038,2019/02/13,5634100,112682,1357100,02,05,06,07,11,12,15,16,18,20,21,22
雙贏彩,108000039,2019/02/14,5129450,102589,985300,01,02,06,08,09,13,15,17,18,19,20,22
雙贏彩,108000040,2019/02/15,5088200,101764,1264900,01,10,11,12,13,15,16,19,20,22,23,24
雙贏彩,108000041,2019/02/16,5418800,108376,1622300,01,02,04,06,12,13,15,16,19,20,23,24
雙贏彩,108000042,2019/02/18,5624250,112485,999100,01,02,03,07,09,10,13,14,17,20,22,23
雙贏彩,108000043,2019/02/19,4948200,98964,1048600,02,04,08,09,11,12,13,16,17,18,21,23
雙贏彩,108000044,2019/02/20,5315800,106316,1299100,01,02,05,08,10,15,16,17,18,21,22,23
雙贏彩,108000045,2019/02/21,4830750,96615,1383600,01,05,07,08,09,11,14,15,16,18,20,22
雙贏彩,108000046,2019/02/22,4708350,94167,1832700,02,05,06,07,08,11,14,19,20,21,23,24
雙贏彩,108000047,2019/02/23,5139250,102785,999800,01,02,03,05,06,08,11,12,15,18,20,23
雙贏彩,108000048,2019/02/25,5092450,101849,1175400,03,06,07,08,10,11,12,14,17,20,21,22
雙贏彩,108000049,2019/02/26,4572350,91447,1332400,01,02,05,08,09,10,11,14,15,17,20,24
雙贏彩,108000050,2019/02/27,5139750,102795,16188500,07,08,10,12,15,16,17,19,20,21,22,24
雙贏彩,108000051,2019/02/28,4377350,87547,1309900,03,06,07,08,09,11,13,15,17,18,20,23
雙贏彩,108000052,2019/03/01,4516650,90333,1446000,01,02,03,05,06,12,13,14,19,20,22,23
雙贏彩,108000053,2019/03/02,4862750,97255,2126100,01,05,07,12,14,16,18,19,21,22,23,24
雙贏彩,108000054,2019/03/04,5188850,103777,1996900,03,04,05,07,09,11,12,14,16,20,21,23
雙贏彩,108000055,2019/03/05,4534800,90696,1264400,01,03,04,05,09,10,11,12,13,20,21,22
雙贏彩,108000056,2019/03/06,4847150,96943,1006100,03,04,06,07,09,10,16,17,18,19,20,23
雙贏彩,108000057,2019/03/07,4087600,81752,978700,01,02,03,04,05,08,11,15,16,17,18,21
雙贏彩,108000058,2019/03/08,4641000,92820,862800,03,04,06,07,08,09,12,13,14,16,18,20
雙贏彩,108000059,2019/03/09,4307900,86158,678600,02,03,04,06,09,10,11,12,14,16,17,23
雙贏彩,108000060,2019/03/11,5177150,103543,1799400,02,05,06,07,08,09,10,11,12,18,19,21
雙贏彩,108000061,2019/03/12,4568350,91367,1340700,04,05,08,09,10,11,14,18,19,20,21,24
雙贏彩,108000062,2019/03/13,4896900,97938,1713700,01,02,11,12,16,17,18,19,21,22,23,24
雙贏彩,108000063,2019/03/14,4609450,92189,1261200,03,04,05,06,07,09,12,13,15,16,18,20
雙贏彩,108000064,2019/03/15,4578700,91574,2140800,02,03,06,08,11,13,15,17,18,19,22,24
雙贏彩,108000065,2019/03/16,4630500,92610,1142500,04,05,06,08,09,10,13,15,18,19,21,24
雙贏彩,108000066,2019/03/18,4918250,98365,17316700,03,06,07,08,09,10,11,13,18,19,22,24
雙贏彩,108000067,2019/03/19,4367550,87351,1206000,01,03,07,08,10,12,13,17,19,20,22,23
雙贏彩,108000068,2019/03/20,4681700,93634,1159500,03,04,05,08,11,14,15,17,18,21,23,24
雙贏彩,108000069,2019/03/21,4365700,87314,1206900,01,03,04,06,08,09,13,14,15,18,22,23
雙贏彩,108000070,2019/03/22,4305100,86102,16421700,01,02,04,10,11,13,15,16,17,22,23,24
雙贏彩,108000071,2019/03/23,4342450,86849,1341400,02,03,04,06,08,13,14,16,17,18,20,24
雙贏彩,108000072,2019/03/25,4604150,92083,1042000,03,07,08,10,12,15,17,18,19,21,23,24
雙贏彩,108000073,2019/03/26,4243450,84869,2058000,01,02,04,05,06,11,14,15,18,20,22,24
雙贏彩,108000074,2019/03/27,4566350,91327,15993200,03,08,09,10,11,13,16,17,19,21,22,24
雙贏彩,108000075,2019/03/28,4296250,85925,1233700,02,03,05,06,07,08,12,14,15,18,22,23
雙贏彩,108000076,2019/03/29,4387250,87745,897000,04,05,07,10,14,16,17,18,20,21,22,23
雙贏彩,108000077,2019/03/30,4463950,89279,1324300,01,04,05,07,08,10,12,13,15,17,20,22
雙贏彩,108000078,2019/04/01,4584350,91687,846600,01,02,04,06,08,09,10,13,14,16,19,20
雙贏彩,108000079,2019/04/02,4207450,84149,1349000,04,06,09,12,13,14,16,17,18,19,23,24
雙贏彩,108000080,2019/04/03,4600850,92017,1878100,02,05,07,13,14,15,17,18,21,22,23,24
雙贏彩,108000081,2019/04/04,4089550,81791,1285200,02,03,05,08,09,10,14,15,16,17,18,23
雙贏彩,108000082,2019/04/05,3963400,79268,1110900,07,08,10,11,13,14,16,17,18,21,22,24
雙贏彩,108000083,2019/04/06,4375550,87511,1346100,02,03,06,07,10,13,14,16,17,18,20,24
雙贏彩,108000084,2019/04/08,4688400,93768,1479900,02,04,05,07,08,09,10,11,15,19,20,22
雙贏彩,108000085,2019/04/09,4187200,83744,1069300,01,02,03,04,09,10,11,14,15,16,23,24
雙贏彩,108000086,2019/04/10,4500200,90004,2218900,02,03,05,09,10,11,12,14,16,17,19,22
雙贏彩,108000087,2019/04/11,4126450,82529,1508800,01,03,08,09,10,11,13,15,17,22,23,24
雙贏彩,108000088,2019/04/12,4298000,85960,1693300,04,05,06,07,11,12,14,16,20,21,22,24
雙贏彩,108000089,2019/04/13,4294650,85893,1028400,01,03,05,06,09,12,14,16,17,19,22,24
雙贏彩,108000090,2019/04/15,4552900,91058,812900,01,05,06,08,11,12,13,16,18,21,22,24
雙贏彩,108000091,2019/04/16,3819650,76393,1374200,01,02,03,04,06,12,14,15,16,18,21,24
雙贏彩,108000092,2019/04/17,4435200,88704,929200,01,02,05,06,07,09,10,11,14,15,17,23
雙贏彩,108000093,2019/04/18,4172850,83457,2886600,02,03,04,06,08,10,12,13,14,20,22,24
雙贏彩,108000094,2019/04/19,4040400,80808,1359600,01,02,03,08,09,10,11,12,14,15,18,24
雙贏彩,108000095,2019/04/20,4262300,85246,913600,01,03,04,05,08,12,14,16,18,19,20,24
雙贏彩,108000096,2019/04/22,4329100,86582,1209800,01,02,05,06,08,09,10,16,18,22,23,24
雙贏彩,108000097,2019/04/23,3894850,77897,16111400,01,02,03,05,07,10,12,14,15,16,18,24
雙贏彩,108000098,2019/04/24,4150650,83013,1618700,01,03,06,08,12,14,15,17,19,20,21,24
雙贏彩,108000099,2019/04/25,3874150,77483,1191200,03,05,08,10,11,12,15,16,18,22,23,24
雙贏彩,108000100,2019/04/26,3925050,78501,855000,02,03,04,06,09,10,11,15,16,18,20,23
雙贏彩,108000101,2019/04/27,4027250,80545,2074700,02,03,04,05,07,11,12,13,14,16,19,21
雙贏彩,108000102,2019/04/29,4381850,87637,2074500,02,03,04,07,10,13,17,19,20,21,22,23
雙贏彩,108000103,2019/04/30,3958550,79171,2223400,01,02,03,06,08,09,10,11,12,18,20,22
雙贏彩,108000104,2019/05/01,4949850,98997,1614000,04,07,11,13,14,15,16,18,19,20,22,24
雙贏彩,108000105,2019/05/02,3722100,74442,1133100,06,07,08,10,11,12,14,15,17,19,22,24
雙贏彩,108000106,2019/05/03,4128450,82569,17416600,01,02,04,10,12,13,14,18,19,20,22,24
雙贏彩,108000107,2019/05/04,5240000,104800,1007800,01,03,06,09,11,16,17,18,21,22,23,24
雙贏彩,108000108,2019/05/06,4143100,82862,1025000,01,02,05,07,08,14,16,17,19,20,21,22
雙贏彩,108000109,2019/05/07,4015200,80304,1509000,02,03,04,09,10,14,15,16,17,19,21,23
雙贏彩,108000110,2019/05/08,5274000,105480,2061300,02,04,06,09,10,12,16,19,20,21,22,24
雙贏彩,108000111,2019/05/09,3962000,79240,855500,02,04,05,09,11,15,17,18,21,22,23,24
雙贏彩,108000112,2019/05/10,4258500,85170,1676800,01,02,03,06,11,13,14,18,19,20,21,23
雙贏彩,108000113,2019/05/11,5304300,106086,1923500,04,05,07,08,10,12,17,18,20,21,23,24
雙贏彩,108000114,2019/05/13,4483050,89661,1190400,01,02,05,07,08,09,13,14,16,18,20,22
雙贏彩,108000115,2019/05/14,3972000,79440,1204500,01,02,03,05,06,07,08,11,13,15,17,24
雙贏彩,108000116,2019/05/15,5138800,102776,1684700,03,04,07,08,12,13,14,15,17,18,22,24
雙贏彩,108000117,2019/05/16,3975650,79513,853800,01,03,06,08,11,13,14,17,19,20,22,23
