遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號
大樂透,103000001,2014-01-03,146792850,2935857,80736067,11,18,20,21,35,37,8
大樂透,103000002,2014-01-07,132190750,2643815,106318850,1,7,21,25,35,36,39
大樂透,103000003,2014-01-10,140617450,2812349,149849635,7,17,19,30,32,37,3
大樂透,103000004,2014-01-14,128619400,2572388,70740670,2,11,21,41,45,49,26
大樂透,103000005,2014-01-17,141157800,2823156,108354326,13,15,20,26,29,36,37
大樂透,103000006,2014-01-21,132900400,2658008,141270573,12,15,22,38,43,44,9
大樂透,103000007,2014-01-24,143544500,2870890,172467560,1,4,20,29,41,45,36
大樂透,103000008,2014-01-28,157096650,3141933,218922795,1,2,5,7,26,30,24
大樂透,103000009,2014-01-30,608966100,12179322,334931355,9,22,44,45,48,49,8
大樂透,103000010,2014-01-31,670393200,13407864,510859037,17,23,27,38,48,49,19
大樂透,103000011,2014-02-01,673933050,13478661,668825176,6,9,13,19,36,37,27
大樂透,103000012,2014-02-02,365275250,7305505,216578907,3,13,14,19,24,45,5
大樂透,103000013,2014-02-03,312885200,6257704,201322534,1,2,16,17,27,30,48
大樂透,103000014,2014-02-04,382041100,7640822,310122605,8,12,19,32,42,46,28
大樂透,103000015,2014-02-07,260755350,5215107,330079044,5,11,12,21,22,28,25
大樂透,103000016,2014-02-11,146964550,2939291,89513183,6,15,21,22,31,44,41
大樂透,103000017,2014-02-14,144576550,2891531,113928909,10,19,20,24,33,48,1
大樂透,103000018,2014-02-18,137949100,2758982,148671664,6,19,20,26,32,47,35
大樂透,103000019,2014-02-21,140264750,2805295,187760475,11,12,23,28,40,48,9
大樂透,103000020,2014-02-25,147445850,2948917,228147635,3,5,9,12,13,46,4
大樂透,103000021,2014-02-28,116192300,2323846,63905765,13,17,18,24,28,32,37
大樂透,103000022,2014-03-04,117888450,2357769,141547172,8,26,35,37,40,43,6
大樂透,103000023,2014-03-07,115346600,2306932,137113949,6,18,26,30,37,38,16
大樂透,103000024,2014-03-11,118655200,2373104,136735172,13,15,16,20,40,43,14
大樂透,103000025,2014-03-14,114016150,2280323,62708882,2,8,27,40,41,47,28
大樂透,103000026,2014-03-18,112906700,2258134,89150396,12,26,28,35,39,40,16
大樂透,103000027,2014-03-21,108988100,2179762,112358847,8,18,26,31,46,47,20
大樂透,103000028,2014-03-25,108919250,2178385,142208910,19,23,25,30,42,47,16
大樂透,103000029,2014-03-28,112023600,2240472,165636331,9,18,23,35,36,47,41
大樂透,103000030,2014-04-01,112380550,2247611,195944047,18,22,29,30,46,47,6
大樂透,103000031,2014-04-04,99116150,1982323,62761237,8,24,35,37,41,47,23
大樂透,103000032,2014-04-08,105973250,2119465,81210878,1,14,17,27,28,45,11
大樂透,103000033,2014-04-11,108775850,2175517,137646174,1,3,4,9,12,17,15
大樂透,103000034,2014-04-15,103966900,2079338,134092694,5,8,24,26,35,44,41
大樂透,103000035,2014-04-18,103283950,2065679,60388963,8,9,15,40,44,48,24
大樂透,103000036,2014-04-22,100250000,2005000,140267972,11,12,15,18,20,37,42
大樂透,103000037,2014-04-25,100622800,2012456,55342540,4,24,34,35,38,46,30
大樂透,103000038,2014-04-29,99631300,1992626,78198092,2,9,27,30,44,46,22
大樂透,103000039,2014-05-02,100149050,2002981,102103594,1,7,23,25,37,40,12
大樂透,103000040,2014-05-06,96670950,1933419,122531297,10,25,35,39,40,46,31
大樂透,103000041,2014-05-09,103429200,2068584,152984028,1,11,13,21,27,37,3
大樂透,103000042,2014-05-13,98769950,1975399,61509780,15,20,29,31,32,44,23
大樂透,103000043,2014-05-16,98416400,1968328,88320931,14,31,38,41,42,45,29
大樂透,103000044,2014-05-20,92056500,1841130,97533175,6,13,30,33,34,35,38
大樂透,103000045,2014-05-23,96964050,1939281,121297042,11,17,22,27,30,46,15
大樂透,103000046,2014-05-27,143587750,2871755,272577912,10,19,23,26,32,39,16
大樂透,103000047,2014-05-30,183799350,3675987,423450647,9,17,21,24,30,35,15
大樂透,103000048,2014-06-03,109006350,2180127,59953492,16,31,32,33,35,44,46
大樂透,103000049,2014-06-06,106674850,2133497,84886176,25,29,40,41,47,49,48
大樂透,103000050,2014-06-10,104901000,2098020,112693200,3,11,28,32,33,35,30
大樂透,103000051,2014-06-13,109214700,2184294,142049147,4,21,28,32,37,42,16
大樂透,103000052,2014-06-17,95972150,1919443,64275521,3,6,18,20,25,48,12
大樂透,103000053,2014-06-20,98019550,1960391,90179719,12,14,16,33,36,47,48
大樂透,103000054,2014-06-24,95417400,1908348,96975449,1,8,12,14,40,41,15
大樂透,103000055,2014-06-27,99717050,1994341,121096966,13,21,27,34,35,36,24
大樂透,103000056,2014-07-01,96234500,1924690,141300198,6,7,8,9,21,48,18
大樂透,103000057,2014-07-04,102991450,2059829,169260050,3,14,17,24,27,48,28
大樂透,103000058,2014-07-08,104194650,2083893,190252597,10,22,25,33,39,47,38
大樂透,103000059,2014-07-11,112989750,2259795,222515318,1,7,14,15,18,30,33
大樂透,103000060,2014-07-15,122148700,2442974,248944891,7,18,23,32,34,48,13
大樂透,103000061,2014-07-18,143077350,2861547,293429553,1,2,15,19,21,30,40
大樂透,103000062,2014-07-22,146404500,2928090,323417074,3,9,13,17,28,42,14
大樂透,103000063,2014-07-25,155118450,3102369,360227761,5,21,30,32,35,45,26
大樂透,103000064,2014-07-29,99571750,1991435,136219378,31,32,34,36,44,47,46
大樂透,103000065,2014-08-01,98483700,1969674,54166035,5,8,21,23,32,45,18
大樂透,103000066,2014-08-05,97575400,1951508,135045671,4,11,26,33,40,42,34
大樂透,103000067,2014-08-08,102084050,2041681,56146227,26,31,32,38,42,45,37
大樂透,103000068,2014-08-12,93928700,1878574,80469060,4,6,10,12,34,45,44
大樂透,103000069,2014-08-15,102149550,2042991,102192614,18,23,29,46,47,48,5
大樂透,103000070,2014-08-19,94965250,1899305,125888029,6,7,9,12,14,19,17
大樂透,103000071,2014-08-22,103235700,2064714,145981401,8,16,23,30,31,43,18
大樂透,103000072,2014-08-26,95666750,1913335,52616712,1,17,19,23,32,43,9
大樂透,103000073,2014-08-29,96861350,1937227,75660182,9,10,21,23,38,39,35
大樂透,103000074,2014-09-02,95693450,1913869,100233247,7,8,36,39,42,43,22
大樂透,103000075,2014-09-05,145572900,2911458,253221680,10,16,25,27,32,36,45
大樂透,103000076,2014-09-09,143518750,2870375,278955351,21,23,29,41,42,49,14
大樂透,103000077,2014-09-12,104362500,2087250,62694265,2,23,27,31,36,49,15
大樂透,103000078,2014-09-16,97445650,1948913,140736148,7,12,16,18,19,41,45
大樂透,103000079,2014-09-19,96584650,1931693,53121557,2,6,17,29,32,39,4
大樂透,103000080,2014-09-23,91180400,1823608,72287099,2,11,20,28,32,38,16
大樂透,103000081,2014-09-26,104791750,2095835,100335860,8,15,19,22,29,37,39
大樂透,103000082,2014-09-30,101577500,2031550,121534477,18,35,36,41,47,49,15
